Accession	Title	TFOE	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM1426365	TFOE_7264_0019c_A	Rv0019	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426365/suppl		Tige Rustad	4-Jul-14
GSM1426366	TFOE_7590_0019c	Rv0019	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426366/suppl		Tige Rustad	4-Jul-14
GSM1426367	TFOE_8440_0019c_C	Rv0019	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426367/suppl		Tige Rustad	4-Jul-14
GSM1426368	TFOE_2323_0020c	Rv0020	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426368/suppl		Tige Rustad	4-Jul-14
GSM1426369	TFOE_9153_0020c_B	Rv0020	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426369/suppl		Tige Rustad	4-Jul-14
GSM1426370	TFOE_9607_0020c_C	Rv0020	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426370/suppl		Tige Rustad	4-Jul-14
GSM1426371	TFOE_1636_0022c_C	Rv0022	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426371/suppl		Tige Rustad	4-Jul-14
GSM1426372	TFOE_6389_0022c_B	Rv0022	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426372/suppl		Tige Rustad	4-Jul-14
GSM1426373	TFOE_7607_0022c	Rv0022	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426373/suppl		Tige Rustad	4-Jul-14
GSM1426374	TFOE_4883_0023	Rv0023	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426374/suppl		Tige Rustad	4-Jul-14
GSM1426375	TFOE_8686_0023_C	Rv0023	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426375/suppl		Tige Rustad	4-Jul-14
GSM1426376	TFOE_9276_0023_B	Rv0023	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426376/suppl		Tige Rustad	4-Jul-14
GSM1426377	TFOE_5294_0038	Rv0038	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426377/suppl		Tige Rustad	4-Jul-14
GSM1426378	TFOE_8173_0038_1	Rv0038	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426378/suppl		Tige Rustad	4-Jul-14
GSM1426379	TFOE_8173_0038_2	Rv0038	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426379/suppl		Tige Rustad	4-Jul-14
GSM1426380	TFOE_8850_0038	Rv0038	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426380/suppl		Tige Rustad	4-Jul-14
GSM1426381	TFOE_2455_0042c_C	Rv0042	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426381/suppl		Tige Rustad	4-Jul-14
GSM1426382	TFOE_2830_0042c	Rv0042	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426382/suppl		Tige Rustad	4-Jul-14
GSM1426383	TFOE_8864_0042c_B	Rv0042	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426383/suppl		Tige Rustad	4-Jul-14
GSM1426384	TFOE_3297_0043c	Rv0043	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426384/suppl		Tige Rustad	4-Jul-14
GSM1426385	TFOE_5695_0043c	Rv0043	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426385/suppl		Tige Rustad	4-Jul-14
GSM1426386	TFOE_9257_0043c	Rv0043	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426386/suppl		Tige Rustad	4-Jul-14
GSM1426387	TFOE_2911_0047c	Rv0047	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426387/suppl		Tige Rustad	4-Jul-14
GSM1426388	TFOE_5167_0047c	Rv0047	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426388/suppl		Tige Rustad	4-Jul-14
GSM1426389	TFOE_7135_0047c	Rv0047	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426389/suppl		Tige Rustad	4-Jul-14
GSM1426390	TFOE_2431_0054	Rv0054	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426390/suppl		Tige Rustad	4-Jul-14
GSM1426391	TFOE_3190_0054	Rv0054	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426391/suppl		Tige Rustad	4-Jul-14
GSM1426392	TFOE_3938_0054	Rv0054	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426392/suppl		Tige Rustad	4-Jul-14
GSM1426393	TFOE_1393_0067c	Rv0067	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426393/suppl		Tige Rustad	4-Jul-14
GSM1426394	TFOE_4167_0067c	Rv0067	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426394/suppl		Tige Rustad	4-Jul-14
GSM1426395	TFOE_6711_0067c	Rv0067	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426395/suppl		Tige Rustad	4-Jul-14
GSM1426396	TFOE_2446_0078	Rv0078	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426396/suppl		Tige Rustad	4-Jul-14
GSM1426397	TFOE_4225_0078_1	Rv0078	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426397/suppl		Tige Rustad	4-Jul-14
GSM1426398	TFOE_4225_0078_2	Rv0078	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426398/suppl		Tige Rustad	4-Jul-14
GSM1426399	TFOE_8209_0078	Rv0078	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426399/suppl		Tige Rustad	4-Jul-14
GSM1426400	TFOE_2284_0081	Rv0081	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426400/suppl		Tige Rustad	4-Jul-14
GSM1426401	TFOE_4177_0081_3B	Rv0081	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426401/suppl		Tige Rustad	4-Jul-14
GSM1426402	TFOE_4428_0081_100ng	Rv0081	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426402/suppl		Tige Rustad	4-Jul-14
GSM1426403	TFOE_6738_0081	Rv0081	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426403/suppl		Tige Rustad	4-Jul-14
GSM1426404	TFOE_7211_0081_2B	Rv0081	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1426nnn/GSM1426404/suppl		Tige Rustad	4-Jul-14
