,subsystem__Transport,subsystem__whole_metabolism,reaction__A_import,reaction__B_import,reaction__C_import,reaction__D_import,reaction__E_import,reaction__F_import,reaction__G_import,subsystem__S3,reaction__N_exp,subsystem__S5,reaction__R_exp,subsystem__S7,reaction__U_exp,reaction__V_exp,reaction__W_exp,reaction__X_exp,subsystem__S1,reaction__R_A_B__G_H,subsystem__S2,reaction__R_C_H__I,reaction__R_C_D__J,reaction__R_I__P,reaction__R_J__Q,reaction__R_E__M,reaction__R_F_M__N,reaction__R_N__T,reaction__R_N__U,subsystem__S4,reaction__R_H__K,reaction__R_G_K__L,reaction__R_K__O,reaction__R_L__W,reaction__R_O_P__R,subsystem__S6,reaction__R_P_Q__S,reaction__R_S_T__V_X,metabolite_synthesis__A_C,metabolite_synthesis__B_C,metabolite_synthesis__C_C,metabolite_synthesis__D_C,metabolite_synthesis__E_C,metabolite_synthesis__F_C,metabolite_synthesis__N_C,metabolite_synthesis__R_C,metabolite_synthesis__U_C,metabolite_synthesis__V_C,metabolite_synthesis__W_C,metabolite_synthesis__X_C,metabolite_synthesis__H_C,metabolite_synthesis__I_C,metabolite_synthesis__J_C,metabolite_synthesis__P_C,metabolite_synthesis__Q_C,metabolite_synthesis__M_C,metabolite_synthesis__T_C,metabolite_synthesis__K_C,metabolite_synthesis__L_C,metabolite_synthesis__O_C,metabolite_synthesis__S_C,metabolite_consuming__A_E,metabolite_consuming__B_E,metabolite_consuming__C_E,metabolite_consuming__D_E,metabolite_consuming__E_E,metabolite_consuming__F_E,metabolite_consuming__A_C,metabolite_consuming__B_C,metabolite_consuming__C_C,metabolite_consuming__D_C,metabolite_consuming__E_C,metabolite_consuming__F_C,metabolite_consuming__G_C,metabolite_consuming__N_C,metabolite_consuming__R_C,metabolite_consuming__U_C,metabolite_consuming__V_C,metabolite_consuming__W_C,metabolite_consuming__X_C,metabolite_consuming__H_C,metabolite_consuming__I_C,metabolite_consuming__J_C,metabolite_consuming__P_C,metabolite_consuming__Q_C,metabolite_consuming__M_C,metabolite_consuming__T_C,metabolite_consuming__K_C,metabolite_consuming__L_C,metabolite_consuming__O_C,metabolite_consuming__S_C
g001,14.468544590348529,46.731554273864404,6.083842166208091,6.083842166208419,5.925254807184127,5.62105871181746,0.1890736835634224,0.1890736835637167,5.720942417019792,4.297868059504056,0.00664511739723999,6.05607560944203,5.119163427069414,4.949794576915507,0.061957035973595274,5.621058711817728,5.260680973973225,5.131933281396679,6.083842166208419,6.083842166208419,13.438396959660558,5.884361852044185,5.621058711819669,5.88436185204168,5.621058711823305,0.18907368356389018,0.18907368356389018,5.621058711820801,0.04331551891847037,16.420999733885022,5.759506899383013,5.512808558384422,5.119163427069414,5.512808558384422,5.119163427069414,11.241116923301872,5.621058711817728,5.621058711817728,6.083842166208091,6.083842166208419,5.925254807184127,5.62105871181746,0.1890736835634224,0.1890736835637167,0.7532932332541687,28.229421661521464,0.9350557530538307,33.77716301269903,19.425203569547428,35.61152859724688,14.850643907717599,17.701197787004464,10.787480478354539,20.571127052617513,14.174596339710659,0.377146866793729,7.947878865036121,16.555283829841404,16.59551442399619,18.86862964619422,30.57860913495699,54.00429140209515,54.00429140209515,41.63457797605844,28.322021494054216,16.339783782015765,16.339783782015765,50.25857935172669,50.25857935172669,37.72397871061719,24.54143956228794,15.660655998647988,15.660655998648043,10.952622987909546,14.264997185634794,5.119163427069414,0.061957035973595274,5.621058711817728,5.260680973973225,5.131933281396679,40.03693129816641,30.868763860743144,20.796712050077264,27.571685387156172,17.094808948845717,15.051558966354461,24.541439562287472,15.971440161950841,7.179090103282363,10.237326353805244,13.442556628137522
g002,0.2519950772129717,1.458427394164973,0.01792532903535733,0.017925329035678925,0.07175058123518063,0.054421865552981744,0.041314328881441716,0.04131432888251019,0.0,0.18198855043042675,0.023228398020277652,0.09480103174927136,0.0,0.1117091425743934,0.07049219771343317,0.0544218655538883,0.07856468912511214,0.0,0.017925329035678925,0.017925329035678925,0.0,0.0,0.0544218655445885,0.0,0.054421865548398764,0.04131432888271889,0.04131432888271889,0.05442186555039337,0.0577461857404814,0.43430476880647884,0.027607001133087967,0.06111453011593865,0.0,0.06111453011593865,0.0,0.10784323077419297,0.0544218655538883,0.0544218655538883,0.01792532903535733,0.017925329035678925,0.07175058123518063,0.054421865552981744,0.041314328881441716,0.04131432888251019,0.16225581452863885,0.34685458646701733,0.12698803312380133,0.6184596732165097,0.3389948264152381,0.6530472081452253,0.2180815513653234,0.20213009067275106,0.07756574323537005,0.2347007635118259,0.09169757083829556,0.081628157430577,0.28465251445808276,0.27199524404286923,0.2853217051151983,0.28807228215312597,0.2860290930398603,0.6354011346124621,0.6354011346124621,0.012140824218031202,0.0,0.6793296050818067,0.6793296050818067,0.5549186545091103,0.5549186545091365,0.0,0.0,0.6483420314864823,0.64834203148648,0.15045384435535006,0.4032568986839648,0.0,0.07049219771343317,0.0544218655538883,0.07856468912511214,0.0,0.28527645766351745,0.0,0.0,0.0,0.0,0.6199737824244692,0.0,0.3097057915579601,0.15216705428512112,0.0,0.0
g003,0.28430228804384383,1.3608107997860348,0.025977592742864535,0.02597759274324147,0.06636779460408805,0.04893658627966561,0.0,0.0,0.0,0.05520393240876732,0.0,0.08581166842511205,0.0,0.0637581852827406,0.032681215153537994,0.048936586280401886,0.04183170122977534,0.01681877698678977,0.02597759274324147,0.02597759274324147,0.06181346592074677,0.07040254528616995,0.04893658628415841,0.07040254528413147,0.0489365862860321,0.0,0.0,0.04893658628632007,0.009228813782424307,0.22097705161835207,0.005513061301535713,0.0,0.0,0.0,0.0,0.09687267222722014,0.048936586280401886,0.048936586280401886,0.025977592742864535,0.02597759274324147,0.06636779460408805,0.04893658627966561,0.0,0.0,0.0,0.1643261343879713,0.045534120119954884,0.6710025735910352,0.1780143768897161,0.7090985184923678,0.17444747943629488,0.09990497389492699,0.08085964468888131,0.12371014391389702,0.10354148365237315,0.0,0.09352340674962477,0.13829043258518844,0.14645742610040952,0.14927568761769883,0.1982480010659479,0.3371828731803431,0.3371828731803431,0.4168838213726317,0.010305530345092434,0.3447527960303424,0.3447527960303424,0.31710734367507315,0.31710734367501264,0.3295274349823794,0.004338711747555815,0.33496995886054765,0.33496995886066394,0.1364570216120435,0.20013985183181066,0.0,0.032681215153537994,0.048936586280401886,0.04183170122977534,0.01681877698678977,0.2803367600466671,0.09488678811432649,0.0,0.061333562319190855,0.0,0.32553283936807226,0.004338711747844022,0.11282332314318255,0.07469594931011851,0.0,0.0
g004,4.146525669140953,15.48812677550338,0.11036627892354611,0.11036627892401199,1.428226100377049,5.62105871181746,0.26389375967499706,0.2638937596757085,0.33869485105020813,4.360310048834948,0.0,0.0577577802144738,0.0,4.957222508560706,0.08322988327462431,5.621058711817728,0.045027109169552354,5.131933281396679,0.11036627892401199,0.11036627892401199,10.134390320441806,0.7058098434651306,5.621058711819669,0.7058098434633601,5.621058711823305,0.2638937596743518,0.2638937596743518,5.621058711820801,0.22083948619493055,0.275644478860071,0.00348874423018057,0.10251180980634529,0.0,0.10251180980634529,0.0,11.241116923301872,5.621058711817728,5.621058711817728,0.11036627892354611,0.11036627892401199,1.428226100377049,5.62105871181746,0.26389375967499706,0.2638937596757085,1.0525735376986582,9.32230892800828,1.0147946324820913,12.147060105509146,2.4432385972360495,13.370018375938722,0.9207146305344854,5.4011465301268915,8.15118992606296,6.189132105362232,11.265984198102595,0.5267870190157654,7.933168358291464,1.9807285687355478,2.183604035481279,3.252915941758767,13.169370679119385,22.63435270093804,22.63435270093804,32.04639208243155,28.322021494054216,16.39997065191334,16.39997065191334,22.210731896042414,22.21073189604242,29.170791887409734,24.54143956228794,15.72820594958263,15.728205949582714,0.9617570964973488,14.314931225604997,0.0,0.08322988327462431,5.621058711817728,0.045027109169552354,5.131933281396679,21.691748164255092,26.431517920937097,20.796712050077264,24.445783249517323,17.094808948845717,15.119662535427112,24.541439562287472,1.133559281662914,1.704147871528787,0.0,13.442556628137522
g005,13.179735928256683,43.05847661168052,0.15844343960343343,0.15844343960434779,1.365210370491767,5.62105871181746,6.111535784916806,6.111535784917192,0.27735107277407445,13.767266938732455,5.193216857487644,0.038288009320003584,0.0,7.261663778395152,5.226100148450613,5.621058711817728,0.003887192433260655,5.131933281396679,0.15844343960434779,0.15844343960434779,10.136073714076376,0.6391102398025171,5.621058711819669,0.6391102397986104,5.621058711823305,6.111535784917048,6.111535784917048,5.621058711820801,5.50982622361254,0.3679270756252181,0.012721746223069576,0.06152042579090886,0.0,0.06152042579090886,0.0,11.241116923301872,5.621058711817728,5.621058711817728,0.15844343960343343,0.15844343960434779,1.365210370491767,5.62105871181746,6.111535784916806,6.111535784917192,24.443141638667345,9.306545434692747,18.688536025387428,32.946495060302134,2.4269322288076585,34.74484513979519,0.8108349596100326,5.378611492369126,8.154154278600208,6.168386246531274,11.268762306498944,12.222071069500268,20.03445398345473,1.9709165440887297,2.1594201200655245,3.2444481495661486,13.158612486798397,22.63449921965293,22.63449921965293,32.051692044676685,28.322021494054216,37.79673925104704,37.79673925104704,22.204700854205477,22.204700854205498,29.17736542735816,24.54143956228794,34.254200043495175,34.25420004349519,0.952505044346949,22.066780746653627,0.0,5.226100148450613,5.621058711817728,0.003887192433260655,5.131933281396679,21.679893475761677,26.434575550431166,20.796712050077264,24.447959176156576,17.094808948845717,30.601399356546665,24.541439562287472,1.1955994572870774,1.741665276058583,0.0,13.442556628137522
g006,13.730623661774152,48.331272666563635,1.180070354767238,1.1800703547682896,1.2129831059535368,5.62105871181746,6.111535784916806,6.111535784917192,0.11028918898374995,13.767266938732455,5.193216857487644,5.40715432123146,0.009650995296638699,7.261663778395152,5.226100148450613,5.621058711817728,5.260680973973225,5.131933281396679,1.1800703547682896,1.1800703547682896,10.134256789329552,0.4157075652241096,5.621058711819669,0.415707565220392,5.621058711823305,6.111535784917048,6.111535784917048,5.621058711820801,5.50982622361254,14.842098221585438,1.762675284767023,5.512808558384422,0.009650995296638699,5.512808558384422,0.009650995296638699,11.241116923301872,5.621058711817728,5.621058711817728,1.180070354767238,1.1800703547682896,1.2129831059535368,5.62105871181746,6.111535784916806,6.111535784917192,24.443141638667345,16.931021434161536,18.688536025387428,33.91165399297588,12.553425593779181,35.7559770705864,8.50124304282963,9.517603222332237,8.151227152122932,11.054487752786791,11.266003438965877,12.222071069500268,20.03445398345473,8.962883790485051,9.488786251293062,10.989518816270756,18.423953101982143,39.68263321895468,39.68263321895468,32.04398681257661,28.322021494054216,37.79673925104704,37.79673925104704,38.31830065747702,38.31830065747716,29.172230160661513,24.54143956228794,34.254200043495175,34.25420004349519,9.396622068061326,22.066780746653627,0.009650995296638699,5.226100148450613,5.621058711817728,5.260680973973225,5.131933281396679,34.722135402746055,26.432890753898494,20.796712050077264,24.44578385107786,17.094808948845717,30.601399356546665,24.541439562287472,14.749923892957904,7.179090103282363,0.01830149025969377,13.442556628137522
g007,13.729967368030717,48.33029778198793,1.009530690052618,1.009530690052521,1.0686922649372679,5.62105871181746,6.111535784916806,6.111535784917192,0.19764491676214155,13.767266938732455,5.193216857487644,5.406544591650033,0.0,7.261663778395152,5.226100148450613,5.621058711817728,5.260680973973225,5.131933281396679,1.009530690052521,1.009530690052521,10.133868933351922,0.4242813479123768,5.621058711819669,0.4242813479088833,5.621058711823305,6.111535784917048,6.111535784917048,5.621058711820801,5.50982622361254,14.842257498800702,1.601045464579169,5.512808558384422,0.0,5.512808558384422,0.0,11.241116923301872,5.621058711817728,5.621058711817728,1.009530690052618,1.009530690052521,1.0686922649372679,5.62105871181746,6.111535784916806,6.111535784917192,24.443141638667345,16.925509798646182,18.688536025387428,33.909859439021844,12.54103289107242,35.7541138623144,8.493427989744353,9.507853792521637,8.14461489489781,11.045244950588067,11.259821191368447,12.222071069500268,20.03445398345473,8.954715388393684,9.471161293410738,10.982401301403815,18.41493281483948,39.679479447591035,39.679479447591035,32.051742114029416,28.322021494054216,37.79673925104704,37.79673925104704,38.31627455371268,38.31627455371265,29.175670635202003,24.54143956228794,34.254200043495175,34.25420004349519,9.396717815697485,22.066780746653627,0.0,5.226100148450613,5.621058711817728,5.260680973973225,5.131933281396679,34.72151869177784,26.43269887443417,20.796712050077264,24.446753390100504,17.094808948845717,30.601399356546665,24.541439562287472,14.749421975928236,7.179090103282363,0.0,13.442556628137522
g008,8.775660426028892,28.018219151083137,0.39242959037798913,0.39242959037806824,5.925254807184127,5.62105871181746,0.18719411611685027,0.18719411611707928,5.720942417019792,4.3432393413163455,0.0,3.0487282334697117,5.119163427069414,4.951457723060054,0.05493820432283328,5.621058711817728,0.09680116248766167,5.131933281396679,0.39242959037806824,0.39242959037806824,13.438396959660558,5.884361852044185,5.621058711819669,5.88436185204168,5.621058711823305,0.1871941161179052,0.1871941161179052,5.621058711820801,0.10060911886158823,7.3725545347156585,0.10589958660211346,0.036826736606316864,5.119163427069414,0.036826736606316864,5.119163427069414,11.241116923301872,5.621058711817728,5.621058711817728,0.39242959037798913,0.39242959037806824,5.925254807184127,5.62105871181746,0.18719411611685027,0.18719411611707928,0.7457749634689892,19.536195107484765,0.9001100686535798,20.966921961701328,11.151457060576558,22.281335108260947,9.179111912411622,11.981848206893007,10.787480478354539,14.346736856577667,14.174596339710659,0.3733877319011719,7.918917352429862,10.006021875486775,9.070581147189017,11.177900301092516,21.658335618936164,38.29508955568285,38.29508955568285,41.63457797605844,28.322021494054216,16.431704341788777,16.431704341788777,36.69696280650011,36.696962806500196,37.72397871061719,24.54143956228794,15.753479890453853,15.7534798904538,7.647668217561958,14.320201792732828,5.119163427069414,0.05493820432283328,5.621058711817728,0.09680116248766167,5.131933281396679,30.42264606982558,30.868763860743144,20.796712050077264,27.571685387156172,17.094808948845717,15.138077136153202,24.541439562287472,7.5745943012904915,1.685296157060099,10.237326353805244,13.442556628137522
g010,4.059196203163878,14.910893782321988,0.12579847725725077,0.12579847725772628,1.7409766916623601,5.62105871181746,0.15389850815569794,0.1538985081569255,0.34736118529958343,4.2221764189742,0.00839054140541137,0.044638845072627976,0.0,4.9468097441967895,0.040754353082279454,5.621058711817728,0.0011373817107901856,5.131933281396679,0.12579847725772628,0.12579847725772628,10.14376670398107,0.7889063752965398,5.621058711819669,0.7889063752947713,5.621058711823305,0.1538985081560287,0.1538985081560287,5.621058711820801,0.10845231634129553,0.2159190501816942,0.0,0.031179207308504615,0.0,0.031179207308504615,0.0,11.241116923301872,5.621058711817728,5.621058711817728,0.12579847725725077,0.12579847725772628,1.7409766916623601,5.62105871181746,0.15389850815569794,0.1538985081569255,0.61259253162393,9.335962169438996,0.7752008476630448,12.005597287917604,2.432619095313737,13.232609691493447,0.8520701425734116,5.411347954183458,8.193930518866182,6.211739683291346,11.306999017961784,0.30679651597814306,7.882465144911814,2.00230823176179,2.176174033911934,3.257016344729083,13.1964327454277,22.6797720892281,22.6797720892281,32.0604791418392,28.322021494054216,16.210586628885068,16.210586628885068,22.248015627298987,22.24801562729898,29.183800621296484,24.54143956228794,15.558924669503458,15.558924669503496,1.0006884520673696,14.22463144864728,0.0,0.040754353082279454,5.621058711817728,0.0011373817107901856,5.131933281396679,21.712932528648203,26.43698353813306,20.796712050077264,24.449045809479276,17.094808948845717,14.971165841559673,24.541439562287472,1.130615343510582,1.7282159316995267,0.0,13.442556628137522
g011,0.1769394498515935,1.1936576165698762,0.0,0.0,0.08242275842849135,0.060650736167185054,0.00976627629351704,0.00976627629539632,0.0,0.022691981337393533,0.0,0.03281331982691439,0.0,0.010914807504934348,0.030725216670102008,0.0606507361677943,0.035459105687077885,0.009132328001666475,0.0,0.0,0.024894523004763972,0.027124752865369944,0.06065073617005063,0.02712475286084591,0.06065073616880027,0.009766276293374818,0.009766276293374818,0.06065073617059801,0.012814170561982634,0.11571928607094947,0.0,0.0008665826232576441,0.0,0.0008665826232576441,0.0,0.12030097200200499,0.0606507361677943,0.0606507361677943,0.0,0.0,0.08242275842849135,0.060650736167185054,0.00976627629351704,0.00976627629539632,0.036063604174912105,0.10514238393318462,0.0,0.437306219934781,0.09483909579859727,0.4510594945778041,0.12155475153431437,0.05917381599968193,0.06966555357463769,0.0631558511956527,0.07371644588322322,0.018532052253308236,0.04704979823157815,0.07799717749398731,0.06794359671055379,0.10856136261198182,0.005987640439469935,0.0,0.0,0.18026983898751617,0.11343124314752594,0.17078660367478912,0.17078660367478912,0.0,0.0,0.13470517029856938,0.07901721046987575,0.1901479535243208,0.1901479535243722,0.031232721681943385,0.09821137050511257,0.0,0.030725216670102008,0.0606507361677943,0.035459105687077885,0.009132328001666475,0.0,0.027898524590263648,0.0497675387980041,0.01800419984245929,0.028910530986694178,0.2031723062519007,0.07901721046945838,0.01818829262599827,0.02390548606680094,0.0,0.01619680679035843
