,Eigenvector Centrality
Rv0013,7.587628691768631e-05
Rv0018c,7.488688915520597e-06
Rv0021c,5.115993962834579e-06
Rv0032,1.521155123260014e-09
Rv0035,0.0002250216512470597
Rv0046c,0.013251085278112367
Rv0066c,5.002986229536378e-06
Rv0069c,2.559700444594983e-05
Rv0070c,8.470915362787081e-06
Rv0072,2.1586111597804418e-11
Rv0073,2.1586111597804418e-11
Rv0075,3.312290544360657e-05
Rv0082,1.633375804111314e-05
Rv0084,1.1167989612633839e-05
Rv0087,9.38339154409587e-05
Rv0091,1.6893705997380523e-09
Rv0092,0.0002565866099632227
Rv0098,0.08029718073360083
Rv0099,0.0002250216512470597
Rv0103c,0.0002565866099632227
Rv0107c,3.2290694604770776e-06
Rv0112,8.348317836779523e-10
Rv0113,3.091364600374487e-05
Rv0114,3.091364600374487e-05
Rv0115,3.091364600374487e-05
Rv0118c,6.972825972476386e-06
Rv0119,0.0002250216512470597
Rv0125,2.1586111597804418e-11
Rv0126,6.780168750646196e-06
Rv0127,8.95814104638468e-07
Rv0129c,0.0019297686545524093
Rv0131c,0.0002546375805692461
Rv0132c,2.1586111597804418e-11
Rv0134,2.1586111597804418e-11
Rv0137c,1.5954856268806846e-05
Rv0143c,2.1586111597804418e-11
Rv0147,1.8402176313970234e-05
Rv0154c,0.0002546375805692461
Rv0155,7.898287359442882e-07
Rv0156,7.898287359442882e-07
Rv0157,7.898287359442882e-07
Rv0162c,1.11196357641833e-05
Rv0166,0.0002250216512470597
Rv0183,3.0373042688102075e-05
Rv0189c,3.7401421899930136e-05
Rv0191,7.0324962317313295e-06
Rv0202c,2.1586111597804418e-11
Rv0203,2.1586111597804418e-11
Rv0206c,2.1586111597804418e-11
Rv0211,2.7641166473126397e-06
Rv0214,0.0002250216512470597
Rv0215c,0.0002546375805692461
Rv0217c,2.1586111597804418e-11
Rv0220,2.1586111597804418e-11
Rv0221,2.1586111597804418e-11
Rv0222,0.0002546375805692461
Rv0223c,1.2052852537954395e-09
Rv0231,0.0002546375805692461
Rv0234c,2.072426135508908e-05
Rv0243,0.0002546375805692461
Rv0244c,0.0002546375805692461
Rv0247c,4.2312093758550874e-06
Rv0248c,4.2312093758550874e-06
Rv0249c,4.3590872923952486e-07
Rv0252,0.00017573093504660446
Rv0253,0.00017573093504660446
Rv0254c,6.087188854111438e-09
Rv0255c,2.1586111597804418e-11
Rv0261c,3.4217869153521087e-06
Rv0266c,0.0003320686814091007
Rv0267,3.4217869153521087e-06
Rv0270,0.0002250216512470597
Rv0271c,0.0002546375805692461
Rv0294,2.1586111597804418e-11
Rv0295c,0.08450626843409105
Rv0317c,3.0373042688102075e-05
Rv0321,2.0102024707531853e-05
Rv0322,5.466912338885108e-09
Rv0334,0.06875231964769414
Rv0337c,0.0006967815868356778
Rv0346c,0.0001368573887191118
Rv0357c,1.123273603331354e-05
Rv0363c,7.55686786332491e-05
Rv0373c,5.104282209194211e-05
Rv0374c,5.104282209194211e-05
