,Gene Expr MI Eigenvector Centrality
Rv0001,0.013560052928840072
Rv0002,0.020452208298209915
Rv0003,0.01703863356958163
Rv0004,0.017849280194994835
Rv0005,0.01888190788377983
Rv0006,0.019724893605153813
Rv0007,0.015975587263302286
Rv0008c,0.015589484569340097
Rv0009,0.01984100517799802
Rv0010c,0.014637877119428806
Rv0011c,0.008554391453875109
Rv0012,0.010755387081259072
Rv0013,0.013006193368302945
Rv0014c,0.020979955596265504
Rv0015c,0.02078800024623328
Rv0016c,0.017454798463164785
Rv0017c,0.016905520221741084
Rv0018c,0.02119865095808343
Rv0019c,0.01676528883834873
Rv0020c,0.019812112074724587
Rv0021c,0.01681801249269593
Rv0022c,0.00902887789169898
Rv0023,0.019018320295434005
Rv0024,0.021057593377921135
Rv0025,0.013256744883410734
Rv0026,0.014501159609710225
Rv0027,0.00931958175438068
Rv0028,0.012289721837627263
Rv0029,0.017517501770528684
Rv0030,0.01619142673302266
Rv0032,0.01509619477120954
Rv0033,0.01474727124803191
Rv0034,0.018748614589629915
Rv0035,0.017182566001336233
Rv0036c,0.016567412417385456
Rv0037c,0.017100922296002807
Rv0038,0.014147884594749277
Rv0039c,0.015939991213649432
Rv0040c,0.016344538690812732
Rv0041,0.016190328637021967
Rv0042c,0.01770886484628327
Rv0043c,0.015873902816065315
Rv0044c,0.011628102413387367
Rv0045c,0.01671295001373974
Rv0046c,0.015235726101639447
Rv0047c,0.01693774999397917
Rv0048c,0.014995305545964873
Rv0049,0.015359881351689026
Rv0050,0.019218101139343236
Rv0051,0.015010382488792055
Rv0052,0.014352096021773232
Rv0053,0.017634764295369195
Rv0054,0.01630198004187448
Rv0055,0.01773841178389025
Rv0056,0.018961931443616055
Rv0057,0.018232344951121318
Rv0058,0.019684535071379478
Rv0059,0.01880303810518641
Rv0060,0.01667066675883701
Rv0061c,0.01338064153971219
Rv0062,0.015625289419904195
Rv0063,0.016514063595682717
Rv0064,0.01730355130398552
Rv0064A,0.01371504404112193
Rv0065,0.014701455427079364
Rv0066c,0.014139387186747883
Rv0067c,0.010909084637143279
Rv0068,0.010447048282873267
Rv0069c,0.01987649176361383
Rv0070c,0.016476121170035683
Rv0071,0.014423336368638053
Rv0072,0.018156925668919306
Rv0073,0.020422043774995586
Rv0074,0.016283665651787765
Rv0075,0.01468912216972497
Rv0076c,0.01649719100451766
Rv0077c,0.013926352581530412
Rv0078,0.019914267613959813
Rv0078A,0.015099240257003581
Rv0078B,0.009665497378280766
Rv0079,0.016623365230681943
Rv0080,0.016421756280839257
Rv0081,0.01850533601681191
Rv0082,0.01746785613609846
Rv0083,0.015749087130147242
Rv0084,0.016338286895899744
Rv0085,0.014880078254048145
Rv0086,0.01570018925703214
Rv0087,0.016179232277089502
Rv0088,0.01869519421900358
Rv0089,0.017154319356081513
Rv0090,0.014375523340796751
Rv0091,0.017682544421961828
Rv0092,0.020677806949100246
Rv0093c,0.014382325594062186
Rv0094c,0.016131434998398225
Rv0095c,0.014081004970757498
Rv0096,0.015757248806414322
Rv0097,0.011810375934462013
Rv0098,0.011587570219841107
Rv0099,0.014800170138149589
Rv0100,0.012921099070675133
Rv0101,0.01793248703874466
Rv0102,0.013241568228411025
Rv0103c,0.017749625165466933
Rv0104,0.015339990265314704
Rv0105c,0.009753694761239912
Rv0106,0.012501116547821418
Rv0107c,0.018039680372631782
Rv0108c,0.01938185099554063
Rv0109,0.01522454256748462
Rv0110,0.013784437286897693
Rv0111,0.021896601236928773
Rv0112,0.01711739558928424
Rv0113,0.01925071205467592
Rv0114,0.017770685722850205
Rv0115,0.018031425051757817
Rv0116c,0.017479283160292007
Rv0117,0.015734996381928937
Rv0118c,0.01706821353172045
Rv0119,0.021640167382709942
Rv0120c,0.012291818217192144
Rv0121c,0.015326028307308488
Rv0122,0.013910696942901965
Rv0123,0.01614850979146813
Rv0124,0.013411324517896905
Rv0125,0.015894310626806896
Rv0126,0.015509969000357617
Rv0127,0.02054749310518709
Rv0128,0.01912675223115546
Rv0129c,0.015916541146869637
Rv0130,0.016993589704748676
Rv0131c,0.01752379480304377
Rv0132c,0.021695239393502663
Rv0133,0.019854156370302863
Rv0134,0.015112577309010713
Rv0135c,0.014888061793355327
Rv0136,0.014085914639864564
Rv0137c,0.015992467564592758
Rv0138,0.0134129859906288
Rv0139,0.016657185998690434
Rv0140,0.01751986277192872
Rv0141c,0.011786363620861724
Rv0142,0.01966923519142322
Rv0143c,0.012819298376671274
Rv0144,0.0179892982771988
Rv0145,0.015601745390038462
Rv0146,0.015768900209904763
Rv0147,0.013858615950308621
Rv0148,0.01541469109866276
Rv0149,0.015613899203399543
Rv0150c,0.007607489884658771
Rv0151c,0.01596530761197487
Rv0152c,0.017922515763864277
Rv0153c,0.01459511768464603
Rv0154c,0.012403718304615632
Rv0155,0.01769738755005489
Rv0156,0.01684606973252626
Rv0157,0.018011621174901685
Rv0157A,0.016428072911843783
Rv0158,0.01431798970988756
Rv0159c,0.013707049973435097
Rv0160c,0.01586861197189855
Rv0161,0.02043744273316588
Rv0162c,0.01733701219602688
Rv0163,0.018558148199292485
Rv0164,0.01934502736240065
Rv0165c,0.014643876039078851
Rv0166,0.01975793511853074
Rv0167,0.01764065937013892
Rv0168,0.019255791562657144
Rv0169,0.019485112044032037
Rv0170,0.017280998131425748
Rv0171,0.020862246772168747
Rv0172,0.019158855111832768
Rv0173,0.019613897912132378
Rv0174,0.019781868730200342
