,2-Oxocarboxylic acid metabolism,ABC transporters,Acarbose and validamycin biosynthesis,"Alanine, aspartate and glutamate metabolism",Amino sugar and nucleotide sugar metabolism,Aminoacyl-tRNA biosynthesis,Aminobenzoate degradation,Arabinogalactan biosynthesis - Mycobacterium,Arginine and proline metabolism,Arginine biosynthesis,Ascorbate and aldarate metabolism,Benzoate degradation,Biosynthesis of amino acids,Biosynthesis of cofactors,Biosynthesis of nucleotide sugars,Biosynthesis of secondary metabolites,Biosynthesis of siderophore group nonribosomal peptides,Biosynthesis of unsaturated fatty acids,Biosynthesis of various nucleotide sugars,Biosynthesis of various plant secondary metabolites,Biotin metabolism,Butanoate metabolism,C5-Branched dibasic acid metabolism,Caprolactam degradation,Carbapenem biosynthesis,Carbon fixation by Calvin cycle,Carbon metabolism,Chloroalkane and chloroalkene degradation,Citrate cycle (TCA cycle),Cobalamin transport and metabolism,"Cutin, suberine and wax biosynthesis",Cyanoamino acid metabolism,Cysteine and methionine metabolism,D-Amino acid metabolism,DNA replication,Degradation of aromatic compounds,Dioxin degradation,Drug metabolism - other enzymes,Ether lipid metabolism,Exopolysaccharide biosynthesis,Fatty acid biosynthesis,Fatty acid degradation,Fatty acid metabolism,Folate biosynthesis,Folate transport and metabolism,Fructose and mannose metabolism,Galactose metabolism,Glutathione metabolism,Glycerolipid metabolism,Glycerophospholipid metabolism,"Glycine, serine and threonine metabolism",Glycolysis / Gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Inositol phosphate metabolism,Limonene degradation,Lipoarabinomannan (LAM) biosynthesis,Lipoic acid metabolism,Lysine biosynthesis,Lysine degradation,Metabolic pathways,Methane metabolism,Microbial metabolism in diverse environments,Monobactam biosynthesis,Mycolic acid biosynthesis,Naphthalene degradation,Nicotinate and nicotinamide metabolism,Nitrogen cycle,Nitrogen metabolism,Novobiocin biosynthesis,Nucleotide metabolism,O-Antigen repeat unit biosynthesis,One carbon pool by folate,Other carbon fixation pathways,Oxidative phosphorylation,Pantothenate and CoA biosynthesis,Penicillin and cephalosporin biosynthesis,Pentose and glucuronate interconversions,Pentose phosphate pathway,Peptidoglycan biosynthesis,Peroxisome,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis","Pinene, camphor and geraniol degradation",Polyketide sugar unit biosynthesis,Porphyrin metabolism,Propanoate metabolism,Purine metabolism,Pyrimidine metabolism,Pyruvate metabolism,Quorum sensing,RNA degradation,Riboflavin metabolism,Selenocompound metabolism,Starch and sucrose metabolism,Steroid degradation,Streptomycin biosynthesis,Styrene degradation,Sulfur cycle,Sulfur metabolism,Sulfur relay system,Taurine and hypotaurine metabolism,Teichoic acid biosynthesis,Terpenoid backbone biosynthesis,Thiamine metabolism,Tryptophan metabolism,Tuberculosis,Two-component system,Tyrosine metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine degradation",Vancomycin resistance,Vitamin B6 metabolism,Xylene degradation,alpha-Linolenic acid metabolism,beta-Alanine metabolism,beta-Lactam resistance
Rv1725c,-1.261365786269492,-0.6861958169100568,-0.7145347677705338,-0.9182212886385921,-0.4347593845847657,0.3064753692711553,-0.62811818652587,-0.850067403026986,-0.5228020831048065,-0.9309638990675728,-0.3486467578665547,-0.9800932972559806,-1.0097675919580364,0.4013442822699454,-0.415668024869904,-0.6644222521490029,-0.7131199988653826,-0.6126920349040709,-0.4140829410281243,-0.4375036991403756,-0.5838769375079306,-1.2391994651710534,-0.7656395588418188,-0.6098519242104988,-0.4528231658345628,-0.6002966259261074,-1.3060878963225795,-0.3215214093946122,-1.2498427528895866,-0.5988799332197321,,-0.4568101958995178,-0.9354789414049473,-0.43315443516665986,-1.819849466170955,-0.9305709680973103,-0.9604036945218364,-0.5966348972393293,,-0.4124959283445583,-0.7741742749985515,-0.761481475233681,-0.8291539248313455,-0.5847564336307083,-0.476745112360835,-0.5268274531533866,-0.40756667478023745,-0.7397352362100815,-0.4699852398100765,-0.5591446298228278,-0.9424373071076921,-0.9798194108644587,-0.9436023571116967,-0.45520235384569985,-0.5384673965110035,-0.34864675786655397,-0.7187781044284912,-1.0062599697435533,-0.5516637065434187,-0.8400559998934134,-0.9752914825722842,-0.6373672171416628,-1.4552627672677125,-0.5225922646416727,-0.7729267495758272,-0.3361621180892051,-0.16709396517949532,-0.4689287282921012,-1.198079101592914,-0.4333434266871198,1.2626576662219262,-0.7133866370503866,-0.8548598380277387,-1.2449508799903308,-0.7022766166823442,-0.9459896969301975,-0.48180835115492343,-0.43678208420348175,-0.5450418385760829,-0.4920612919337581,-0.8626108965797094,-0.9707923944665144,-0.4500573972827879,-0.6193098248266644,-0.7153251786157897,-0.6503149408125534,-0.9794957405708878,1.1956000152033892,-0.5938421636825582,-1.1505421003150638,-0.5969314835771409,1.3251546394987848,-0.39924695900168594,-0.4399223576708661,-0.4645526151906545,-0.6929527047852332,-0.42273051911533505,,-0.3436949882309609,-0.4343188832811054,-0.42484783801228543,-0.9244066787140046,-0.7150121395879301,-0.5274314207657944,0.8709589554530416,-0.8330948292009495,-0.37435647091411317,-0.9430936649876374,-0.4636136950539325,-0.5000677455836323,-0.9721973716980268,-1.1672899266042693,-0.46582247484728057,-0.5967810139766284,-0.9604036945218364,-0.5497652641783536,-0.5987817670515854,-0.7150121263113615
Rv3295,1.1384762335587992,2.252279921492534,2.212856830306456,-0.4053120485847185,0.09168422363536463,0.3064753692711553,0.6560752938684582,1.708307486982971,2.146546047782992,-0.3550082062046273,0.5461915785264805,0.996372046273542,0.9424829666852704,-1.3582388143043824,0.050557910692407476,0.024678527364157623,2.214786638086211,-0.3534117395899395,0.15049708057807912,0.1890649192920449,1.3819725384647725,1.1939167485198003,1.4555133223460515,0.734620324075429,0.2970179100668582,1.7145591188308018,1.362870044866654,0.38304705179398074,1.4371727695096748,1.5430953425184717,,1.0373428516205263,1.5062443362964293,0.08295359330958076,0.34896749819871,1.3005716420693354,1.2801606963599839,1.5005310604578712,,-0.09945607140952048,0.9859956140898162,0.19501351384765936,0.7933308843101945,0.6332146738966324,0.9750795935612405,-0.019345688135889428,0.2001086398220876,1.7327255825493075,0.16457861058507967,1.7765455086470872,0.1801495063277235,1.1561145302204514,1.447301130082576,0.2125708527193387,-0.24953569347241347,0.546191578526481,2.0768995373943477,1.2435515646131796,1.381556511453816,0.28744978882849315,0.8659615136461212,1.7360187167411554,0.6268371558951468,1.042384437006606,0.9757634496445596,-0.161041829678834,-0.1177254942959161,0.9103955245793689,-0.09760349044519899,-0.05285728841216161,0.0710570753931077,2.2132279609694336,0.16439514055569554,1.4318847683003206,1.255389802703873,-0.7134735772506456,-0.02715897993894,0.2704237821914573,0.42344124013822565,0.6768765583194243,1.2284662286349148,0.965874725144749,-0.11091881240747524,0.7569949094816144,2.212652171971244,0.5895849828926131,1.1846987696576066,0.03278692292062213,1.4527411615332444,1.7648614385222103,-0.15352866977811128,-0.613430961029558,0.11676020400218,0.3917715206620558,0.3037406941006665,0.26678802611246216,0.19866564766427053,,0.04039874047200456,0.19465251633085023,-0.1652132622807074,-0.5573112524277111,2.212680020872327,0.9540308332909602,-0.09914299954811835,0.3072815962793259,-0.12038271595295356,2.2393299174297354,0.46114129553458344,0.8528061169810309,-0.4753507077036219,-0.030337968672635066,0.12080346122668187,0.3281077249743561,1.2801606963599839,1.09769767732593,0.5499113551541279,2.2126782824655415
Rv1963c,-0.3861585321809999,-0.717943588152401,-0.5856954509953155,-0.6910146095944972,-0.44551701175684644,0.3064753692711553,-0.6432742939288707,-0.7533068660213262,-0.4817067378434006,-0.7331113258898554,-0.35607213084293915,0.8046314907129535,-0.9727487738004922,-0.6654982676465941,-0.4261901863261238,0.6399939364814382,-0.5904040360433785,-0.6182718239266247,-0.4118357088050416,-0.09787275370245276,-0.5908809532962491,0.30982429993957566,-0.7894218685941863,-0.6437176608602382,-0.44175630492525386,-0.5826554332889062,0.04436593062009858,-0.42472470575990134,0.130454812987289,1.637497743462831,,-0.42911928052872556,-0.8096790509435354,-0.3714670103554047,-1.712011932083911,1.2216437484410279,1.2200462679365962,-0.6215901668874187,,-0.2986801901931095,-0.7796655938580854,-0.777350609704068,-0.8608455540308924,-0.4020260332692018,0.3219085420933188,-0.5214980644636552,-0.4262042478213046,-0.7126687057316005,-0.4441226822755116,-0.6166633761887924,0.6214680025339028,0.12725625238101396,-0.27343268061580284,1.2105453178130003,-0.5896259605183845,-0.35607213084293843,-0.5272868663322374,0.45081283330223776,-0.6114334600703591,0.7429466801466608,0.7269156734732194,-0.5962226579308406,0.3995204311551122,-0.5805322221038848,-0.7797303514787729,-0.3272451709597702,-0.28611506404680725,-0.49609318300171257,-0.9007083947319113,2.0534062571093155,-0.2452654185363718,-0.5845815322071736,1.1302627358948136,0.12160256233925522,0.27572153632847457,-0.7934442718926854,-0.4050843090340825,-0.4416302612328968,-0.5223522272176588,-0.36361402235744006,-0.8669225536472484,0.7792179631521525,0.4081582443682739,-0.6544053260818842,-0.5864601366791834,-0.7772212847466674,-0.10432458999682555,-0.2861477924039472,-0.6059158269887792,-0.4443911344379532,-0.5691313660555637,-0.23655500434877147,-0.3450009223370528,-0.3203667728075579,-0.4749804474571867,-0.7131882059260394,-0.4134112618788366,,-0.3667495717261588,-0.4514405813472186,-0.3203493440246079,-0.6571812218906894,-0.5861596107491074,-0.5597813147021221,-0.4244912841819127,0.7051181309093785,-0.18377873560277797,-0.8276908667387713,-0.07369343052865852,-0.5359932486470652,-0.865240915170224,-0.0678235045382857,-0.47505891115283244,-0.5424481969346794,1.2200462679365962,-0.5726334532762714,-0.5925496670199337,-0.5861596744145315
Rv3328c,-0.6778041457884262,-0.5656770131306686,-0.6320995954903288,0.20193895032612066,-0.430563096211765,0.3064753692711553,-0.6460170926601014,-0.8466264475093456,-0.6014166246672239,0.23157271724847878,-0.4172146432301559,-1.0108929159150009,-0.42536212696305586,-0.5557669679361269,-0.4097212189264791,-0.3637136482030497,-0.6346741551913124,-0.6136926813467539,-0.41709105138566954,-0.4727044229384483,-0.5820108910422785,-0.9306909151559724,-0.7754951592075074,-0.6454946104029669,-0.4669918513512076,-0.6081466344714691,-1.0537874762317472,-0.40731286617976187,-0.9715184298833639,-0.5851493107181688,,-0.44048915591954896,-0.15286996368460787,-0.4350686879798205,1.2532532276921877,-0.9361300753738743,-0.9585962462670752,-0.5984471369396653,,-0.41582660219692386,-0.7724229241207337,-0.7806262182038682,-0.8507816647270047,-0.5499619718603664,-0.46249055020491997,-0.5449854204373294,-0.40539468572675513,-0.7536819623702955,-0.4785927630968805,-0.4903293847624035,-0.9379493754232079,-0.9709265745592931,-0.9453300710177034,-0.4611760472672007,-0.5740420535291139,-0.4172146432301551,-0.5445353373354338,-1.0171985782999176,-0.6177914638561103,-0.86023705095813,-0.5676335537527534,-0.6315355834267689,-0.3281003013047407,-0.5993214191318986,-0.7737452499952334,-0.32169885011323185,-0.05061601049692137,-0.5132391972515031,0.3928164127796965,-0.4437063686668243,-0.5738439856916913,-0.6309733538998664,-0.825108435171859,-0.9625126013119687,-1.02814572342037,-0.02456181282705267,-0.46624531122527124,-0.46542726035698256,-0.5153901068882594,-0.4497069592102569,-0.8695451334602846,-1.0022411597429428,-0.4448143963786432,-0.6584680297071569,-0.632873606811635,-0.5385822695600155,-0.9850228420409801,-0.601603876296715,-0.5839521058745621,-1.100095715702546,-0.5712810356133018,-0.3131783860038132,-0.39978831012995164,-0.4949484638511001,-0.48040299930079844,-0.6998729640056628,-0.3678189733114572,,-0.38344711100422646,-0.4637063037634239,-0.41650491997534467,0.26075565768529263,-0.6325685136689998,-0.5573315129679325,-0.48950608895092135,-0.846029958953332,-0.42599921076865543,-0.790576994762082,-0.49622333948063335,-0.52994517731541,-0.12184942842609901,-0.47210430730355124,-0.48505755514774757,-0.5201080768575784,-0.9585962462670752,-0.5724934083050558,-0.6133649548656737,-0.6325685494998986
Rv1358,1.0808298362904452,-0.2317649727252186,-0.6841899405481797,0.04159442629054886,-0.43238931574880773,-2.9063939193702706,1.9876643438523784,-0.9035668114667735,-0.5534978938443175,0.02717904806357899,-0.19410179227419488,1.0972849372794742,0.6770481678623365,0.8782656603569495,-0.41618539128778553,0.7898983907227154,-0.6849053333699671,-0.6182801351572257,0.023901451300907678,-0.1929187023072026,-0.5891342890819465,0.9430915336447869,1.295702342782654,2.020389101793938,-0.433838526159273,-0.4884774796517714,0.9178017884125464,-0.22178007281536413,0.8782810143968763,1.6788113376178553,,-0.4448837171738072,-0.3979244474441133,-0.4229388389680286,0.46558782941122745,0.4152221917445083,0.5405584507623785,-0.5427910742936856,,-0.24779782643448428,-0.762531842600379,1.5073833679894515,1.1084406135501534,-0.6592613752482891,0.31419511344452916,-0.42134272460163147,-0.42258253835322934,0.8345031320917181,-0.4512970332829205,-0.6235640596694392,0.9745927654461551,0.3815475036700222,0.6899491715167176,1.2922326023179804,3.050285902284411,-0.19410179227419416,-0.553510515231477,1.5472810923612295,-0.41989415190371615,1.7213501812122851,0.5791050560479011,-0.4743327338611251,0.6460268427542522,-0.43725752430931186,-0.7463473120252234,-0.33780912501204496,-0.13453391066757203,-0.5390862601144165,0.08677638179839517,2.0399527897215015,-0.8587604629290481,-0.683049903551469,1.4121306904966944,0.7857227042686465,0.7719762173260245,1.746887362124491,-0.4679616183070286,-0.3992338693662278,-0.4486176289466097,-0.4270802994363602,0.275048551751664,1.0925213328358556,0.4095063149257291,1.9356882273536038,-0.684974343879237,0.37374840780236757,1.254109387552854,-0.8830382046178646,-0.536782616937225,0.963841935674647,-0.6040026865036415,-0.6692460557222207,-0.41781808495197575,-0.23970045030831225,-0.4772313611306774,-0.6269449043962917,-0.403390299367333,,-0.3960264936696669,-0.40128936252481434,-0.24970770135187073,0.07732233430904274,-0.6846642143299126,-0.47664312363031147,-0.8756366119152107,1.7169119759876375,-0.2793151616246949,0.6131703407549483,-0.029475393113905877,-0.5951425587096432,1.5016883601864575,1.3598604595887414,-0.48113292823636405,-0.4883195846299075,0.5405584507623785,-0.4816124631976846,2.3387977240141447,-0.6846642190836365
Rv0081,0.3930584339153318,-0.49711285115013626,-0.30695775471624454,-0.04535728805128607,-0.4357455355130233,0.3064753692711553,-0.6107864888295389,-0.5818111511604677,-0.4113253338192807,-0.07060713719885277,-0.3226271599191687,0.5677036730569184,-0.47319083322494615,0.06776039321214984,-0.4120032879701925,-0.46348176694427334,-0.31390460745732895,-0.600121280662366,-0.42214493145179155,-0.4846112522420911,-0.5002245358409712,-0.43380236279044015,0.22807284438871062,-0.6263802419627861,-0.4335907237769959,-0.6067621181385113,-0.3875653038033249,-0.3763604498109947,-0.3597278208180107,-0.6111494790980893,,-0.40210074476949065,-0.44898378641444914,-0.4103115651952831,0.40002879623496884,1.0511998749781795,1.0889831034691042,-0.609795591454437,,-0.33156412339218716,-0.7225389097484871,-0.7634944348010726,-0.7575330048388244,-0.3810620031238388,-0.4899054741585203,-0.5155164731154303,-0.43832289740900593,0.7360027446729311,-0.46661231257037766,-0.6100690556170162,1.4952264323162014,0.939637280386908,0.48288866578445583,-0.4056149974421466,-0.4734072894899301,-0.32262715991916796,0.30424868400927907,1.201204516941243,-0.5446942424531434,1.348893873618095,-0.4406732396381329,-0.6550608943650499,-0.1827796952512055,-0.42403407297562684,-0.7267701701326631,-0.35078504918568404,-0.31007933574951474,-0.4943994319530489,-0.3856525060781668,-0.4424639102358243,-1.1375682691246003,-0.3059178096587139,2.069975749003167,-0.5409908348436736,-0.5862634557404195,-0.27229015285950026,-0.45019127492360783,-0.44893634563431717,-0.5289011825895119,-0.349695927886922,0.1524124779759237,0.5270303197115327,-0.45018164068073424,-0.6320634720461711,-0.30766663816061973,0.41796831028127546,0.5560283324837907,-1.1784474693817162,-0.5990910084008699,-0.09318653505539883,-0.5747029918856532,-0.9443271849628442,0.019786420487835982,-0.3726694356424664,-0.45528440958690786,-0.6798670386333289,-0.4048275028254087,,-0.1299971903917531,-0.34550137055752983,-0.3632659075579046,-0.035261276280726915,-0.3073932947251425,-0.512191044097573,-1.0277034837388033,1.3524335920411548,-0.10988405337460332,-0.7259513840775513,-0.45216934076333676,-0.5448244604353668,-0.3457589223774318,0.6295006180719288,-0.4547800093165704,-0.5388834577209022,1.0889831034691042,-0.5273145182298332,-0.5950375687142917,-0.3073935255109185
Rv1221,-0.9834275227916465,-0.09554902939549682,-0.533545405660403,-0.6113036527951803,-0.4133418093517022,0.3064753692711553,2.5363476237870275,-0.18049137518079608,-0.5364734147911727,-0.6194054417880681,-0.3274618411196027,1.5488698156488672,-0.8270598378833625,0.2502368202846588,-0.39791429700252834,-0.8502512585016453,-0.5395685215710243,1.667794338903209,-0.42214493145179155,-0.477872995014864,2.935156133441934,-0.47077613619308945,-0.6491517885737466,2.54592436449333,-0.414289296688788,-0.5728612958363706,-0.29822954688682257,-0.2800852593835577,-0.8239329169990495,-0.5578413465739992,,-0.42866016548850977,-0.7150385296023879,-0.4312552133472888,0.6443234547878491,-0.9405316237778907,-0.9578337805135518,-0.6243516181587716,,-0.4116958281802162,1.9702505862198738,1.685562523506266,2.0940693101797256,-0.41329252216733775,-0.44301840694573813,-0.49460824715204604,-0.42814785942244277,-0.5528512478670032,-0.3621146267581629,-0.35660972565230414,-0.9174424659754592,-0.9385381164752745,1.1728732801054607,-0.40063317984574787,-0.5873160236670313,-0.32746184111960197,-0.33633176973515383,-0.9367328260825817,-0.5673533458590375,2.1080385413316205,-0.7760032709420479,-0.6414562668904998,-0.811787883780784,-0.5684002623683803,1.984221521826139,-0.27729814936336483,-0.45986287774929185,-0.3608314950358224,0.7263257743600993,-0.42534392357711853,-0.8561793592432249,-0.5337120090674942,-0.8337319639734225,-0.5530490739811703,-0.5635785468700635,-0.7077404245864243,-0.42486942797414773,-0.43634580898232367,-0.4851543786906007,-0.47372318994883483,-0.6876279046615547,1.5657463137474885,-0.43731857204062524,2.4588876132432302,-0.5357216230649239,2.1630815665877225,1.3926607887240205,-0.8850454318651938,-0.626175613377292,0.8479662126893018,-0.4747543619280163,-0.6674593406798957,-0.3706635629667722,-0.46435936639853503,-0.42832739276375403,1.8808090644630284,-0.42273051911533505,,-0.38810412723131754,-0.45079783531226236,-0.42512702942912595,-0.6355697243121876,-0.5354322804244961,3.0308207070940734,-0.7923096280263255,2.0887237471298876,-0.3466841097489031,0.41109796917770697,-0.3473226899258066,-0.25605524722181744,-0.7390781773758677,1.947654212732816,-0.47706940059589925,-0.5895382492252248,-0.9578337805135518,2.949593886017458,2.5137346278901496,-0.5354320075244322
Rv3066,1.541184971775771,2.252331234189986,0.7207484388115423,1.1878078781261094,0.18077547591121276,0.3064753692711553,0.5239168773949031,0.6345692040530301,2.1992451894569203,1.1529680944202767,0.27893234081812995,1.0691067931849045,1.4777894517316061,0.11406691664247591,0.11925559835105277,0.029618259520840427,0.7176131466555573,-0.36859574848791005,0.25140386245356255,0.5962854579829107,1.0139114488853933,0.928617514571502,1.4685341891036134,0.5748107145838028,0.563502482206862,2.0112454150764,1.2028779687038829,0.14941379876387023,1.2825576394941485,1.5370086339253108,,0.5064369674748304,2.0811694243057937,0.41056734484294277,0.8621006348330941,1.3488076350927325,1.3165287631478328,1.077141866988039,,0.01588727611737937,0.8381851939761148,0.12099239825688277,0.6482413563943669,0.25373709589851684,0.5967189573375747,0.25774171665990264,0.2785645754356659,1.7668235416936915,0.25745665044759974,1.8895166910089938,0.20679904798003507,1.0981835218545277,1.5985654556256363,0.3114999532387832,0.01984182081183381,0.27893234081813056,0.5118513483625465,1.2752727819459007,1.1135549854313778,0.1755559145606364,0.21713399344816908,1.9570503779534236,0.7785447031491528,0.83504964584027,0.8282356979925299,-0.24746689611859615,-0.2729745330078173,0.8432113131662802,0.8614108168898639,0.1498451703946522,0.0570121870730276,0.7215156179149563,-0.04957424195903221,1.2678532929754678,0.664253484992659,0.5256256489518484,0.4458661535946716,0.33066495393858136,0.43228800562134284,0.2974656150041669,1.2899382472134147,1.045815685817117,0.08146823284478265,0.6279395799077567,0.7202451894043159,0.8158041217303053,1.1850209157566711,0.019755144564890425,1.0743331179873838,1.7599330458627933,-0.15803472215454675,-0.454534393813314,0.09150190283148289,0.6085025164400876,0.3222113554260991,0.1835766422712012,0.3647651015779448,,0.25942200245964225,0.38398303447386545,-0.007302398251420949,1.1779343390435282,0.7204184358079361,0.7778637922398223,-0.11029522332427617,0.2085921710043447,-0.0812750383424434,2.1804205023492256,0.5129970547410864,1.215506864604521,0.5719154329743671,0.6550359538984771,0.46268998358087293,0.5011454322937245,1.3165287631478328,0.9194670591105958,0.4180011873928467,0.7204175912289594
Rv3208,0.06883631876681728,0.7038551935732692,0.6544037063473833,-0.27445544206266553,0.1730852363365033,0.3064753692711553,-0.25055549011580525,0.2136287661158333,-0.046806590560481774,-0.5009102264421286,-0.357597815565686,-0.26798956451008865,-0.20343111181209003,-0.1582821394928072,0.10520596117909664,0.4112220177436885,0.6489748576392922,1.864236352976248,0.14901016854196536,0.4466395385396868,-0.03174182178542364,0.6777458594468709,0.25890755492889816,-0.25534352844792996,0.3938665266739327,0.07690370993577812,0.5937445660810431,-0.0914055124550197,0.630390546582755,0.13580917030800566,,0.01173780093735608,-0.7931663949517425,0.14344653767627083,0.578307634572044,-0.08073572303617997,0.10723480178138357,0.6001791729537899,,0.0674220617096973,1.363828135103858,1.476513202315229,1.1171042253985946,0.4295842078511378,0.2729039473455575,0.7479528779121203,0.1405673663875841,0.38436599889505824,0.12452609526237726,0.6873501942749882,0.05814121021169585,0.6906293322553291,0.1423590028737302,0.012469761913723131,0.09674347951408878,-0.35759781556568526,0.434288241633057,0.2061291727876796,0.3290371884167619,-0.5062168310759642,-0.21148469790694926,0.26006134426099486,0.2918960282283902,3.488039623285836,1.3607951895782446,0.16616943802733516,-0.23614773761648344,0.5003402193369512,-0.5893908325814877,0.2758363411107246,0.8917721139054943,0.6551884811829615,-0.345228838571586,0.6365350524009903,0.39268993758754517,-0.9122135584748516,0.19638636492250844,0.15687186357691052,0.575639384083596,0.3593460049894942,1.250856683073673,-0.3300531652203825,0.4415883417219806,-0.23975684421719426,0.6538871845956877,0.7701305080831661,0.21184479719831031,1.4244956456184734,0.6068182626569765,0.732495127735602,2.1676082831485206,0.5267485287976899,-0.0057900959139644,4.588325011621559,0.17353589766390848,1.6663856615326755,0.19311005608231682,,5.163960554998185,4.322430316096502,-0.01535688259911323,-0.3032225734611437,0.6540668840330963,-0.09065691746099934,1.4307675045432062,-0.5375913282731885,-0.03538873969798204,0.8362878136797169,0.6343381654048139,1.8142633692107926,-0.6973988472386472,-0.8780645829487135,0.25146231609055286,0.5217203829068191,0.10723480178138357,-0.08641943940251529,-0.3010103075306585,0.654066079175263
Rv3060c,-0.16194075643850844,0.062421945278449055,-0.7241823764591977,-0.40176097776689074,-0.4190802682236615,0.3064753692711553,2.6360147266257976,-0.9408091347373967,-0.5456579549116441,-0.4081140306655076,-0.3576060091268764,1.7676130752439165,-0.7737182774980859,0.8693214207514856,-0.3976878768895861,0.36830612117213235,-0.7186193407553753,1.6674879915539709,-0.393112061564613,-0.4115546517915269,2.8962820004042062,0.33709125663726774,-0.6818654732938557,2.6398006245652152,-0.4198442266538116,-0.5989053219368784,0.3221931938297027,-0.37408422411607095,-0.011398222888290172,-0.5996067435892066,,-0.4689069860393608,-0.6224120349605522,-0.3855223237163013,0.18074537421133235,1.0311324298091553,1.072983544882916,-0.6395443537262666,,-0.41677335429824874,1.9539665669605362,1.761599734382994,2.0674990978775902,-0.64787998956382,-0.47418616471521136,-0.5183363810647464,-0.37631318542135905,-0.6507941421908907,-0.2811758504493697,-0.4378460709587544,0.728142297938317,0.11962237596699171,1.2675622046422121,-0.4311074010753449,-0.5867526144729622,-0.3576060091268757,-0.631829450752926,0.39424534998371485,-0.5578362570377762,2.398249216829692,0.42034556667405976,-0.6475377466557377,0.3342420601712357,-0.5841283485608032,1.966077672725611,-0.3257331970942379,-0.39221413742150324,-0.33111838078781763,0.9591657476564894,-0.42344099731087065,-0.31632919164082407,-0.7233241190504782,1.1078994793976389,0.13834529182041835,0.21304495266116633,-0.45104386852761735,-0.38783219764607973,-0.41739088594470664,-0.5175773225749088,-0.5108504825670293,-0.7182552250516189,1.7954932469503666,-0.43014791260033103,2.5497967179853993,-0.7247992967004374,2.0570162972389383,1.4671160572879955,-0.3481690572979001,-0.6300267595568412,0.9728772628157399,-0.46391492253548755,-0.25359567674557054,-0.3914995198316843,-0.4790714391634352,-0.429962530149306,1.9493955464837032,-0.3382237984717438,,-0.39939053581118966,-0.46144600948489234,-0.3987959430087164,-0.3263910340492789,-0.7245632538457276,3.138782269016446,-0.38227896338336476,2.3631892103265657,-0.36086562413894063,0.41520813134139173,-0.4128519988965672,-0.24152535029158426,-0.5535582504829125,2.0979287453607105,-0.4020325627403936,-0.576702212542912,1.072983544882916,3.0436192445352463,2.6226004815336497,-0.724563234733483
