,2-Oxocarboxylic acid metabolism,ABC transporters,"Alanine, aspartate and glutamate metabolism",Amino sugar and nucleotide sugar metabolism,Aminoacyl-tRNA biosynthesis,Aminobenzoate degradation,Arabinogalactan biosynthesis - Mycobacterium,Arginine and proline metabolism,Arginine biosynthesis,Bacterial secretion system,Base excision repair,Benzoate degradation,Biosynthesis of amino acids,Biosynthesis of cofactors,Biosynthesis of nucleotide sugars,Biosynthesis of secondary metabolites,Biosynthesis of siderophore group nonribosomal peptides,Biosynthesis of unsaturated fatty acids,Biosynthesis of various nucleotide sugars,Biotin metabolism,Butanoate metabolism,C5-Branched dibasic acid metabolism,Caprolactam degradation,Carbon fixation by Calvin cycle,Carbon metabolism,Chloroalkane and chloroalkene degradation,Citrate cycle (TCA cycle),Cobalamin transport and metabolism,"Cutin, suberine and wax biosynthesis",Cyanoamino acid metabolism,Cysteine and methionine metabolism,D-Amino acid metabolism,DNA replication,Degradation of aromatic compounds,Drug metabolism - other enzymes,Ether lipid metabolism,Fatty acid biosynthesis,Fatty acid degradation,Fatty acid metabolism,Folate biosynthesis,Folate transport and metabolism,Fructose and mannose metabolism,Galactose metabolism,Glutathione metabolism,Glycerolipid metabolism,Glycerophospholipid metabolism,"Glycine, serine and threonine metabolism",Glycolysis / Gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Homologous recombination,Inositol phosphate metabolism,Limonene degradation,Lipoarabinomannan (LAM) biosynthesis,Lipoic acid metabolism,Lysine biosynthesis,Lysine degradation,Metabolic pathways,Methane metabolism,Microbial metabolism in diverse environments,Mismatch repair,Monobactam biosynthesis,Mycolic acid biosynthesis,Nicotinate and nicotinamide metabolism,Nitrogen cycle,Nitrogen metabolism,Nucleotide excision repair,Nucleotide metabolism,One carbon pool by folate,Other carbon fixation pathways,Oxidative phosphorylation,Pantothenate and CoA biosynthesis,Pentose and glucuronate interconversions,Pentose phosphate pathway,Peptidoglycan biosynthesis,Peroxisome,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis","Pinene, camphor and geraniol degradation",Polyketide sugar unit biosynthesis,Porphyrin metabolism,Propanoate metabolism,Protein export,Purine metabolism,Pyrimidine metabolism,Pyruvate metabolism,Quorum sensing,RNA degradation,Riboflavin metabolism,Ribosome,Selenocompound metabolism,Starch and sucrose metabolism,Steroid degradation,Streptomycin biosynthesis,Styrene degradation,Sulfur cycle,Sulfur metabolism,Sulfur relay system,Taurine and hypotaurine metabolism,Terpenoid backbone biosynthesis,Thiamine metabolism,Tryptophan metabolism,Tuberculosis,Two-component system,Tyrosine metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine degradation",Vancomycin resistance,Vitamin B6 metabolism,beta-Alanine metabolism,beta-Lactam resistance
Rv0019c,0.24627098724754748,0.14253047565145055,0.5157989714221206,-0.06393425934930888,-0.30818185960259187,-0.05778749876370898,-0.38213234357029013,-0.38464430807487643,0.3596617203790752,0.2959746082450889,-0.4009223315785769,0.26282483146267066,0.21815818819483185,0.18963624120264266,-0.10156013271159922,0.1718525418856544,-0.47539497158454946,0.6297595190380761,-0.2520711663656004,-0.3842510650664738,0.33316390547139485,-0.5612141572371814,0.3955754846832795,0.0662449172458161,0.30427835116596497,0.48255282974433794,0.40693490795375825,0.47684044986049956,0.5174308005865235,-0.1900004900944149,0.09690700580515574,-0.12199591789510777,-0.4700677068853649,0.20343167240002935,0.34897781808840467,-0.3154327277084694,-0.1932938981895524,0.3873674404337035,0.1799409223331086,0.06422219806296489,0.3774395685421138,0.22394685989984642,-0.17941816010812967,0.3795394619272958,0.2263581625980819,0.050605836646749,0.2884126773768191,0.4725414612118769,0.3203454072574531,0.3403174861924323,-0.6155779264067978,0.04160253271663336,0.653360737979362,-0.1636915658121748,0.480741168716329,0.4597285775999431,0.4454893126877206,0.1885663119710015,0.3108327415697209,0.2817231043617173,-0.40057557576917596,0.276098406130458,-0.47022935427358425,0.10839721422163895,0.6086459551493734,0.43373094897778924,-0.04601813477170902,-0.021781546019665587,0.22428710816455277,0.3589849010020104,0.6419327560819655,0.09746854176547798,-0.4446371363954198,0.3907953655731049,-0.10276719842180532,-0.1996228618923912,-0.21269888379127166,0.0976887250080662,0.24511425087622746,-0.055967661166428095,0.2334550152679969,0.12201076224873186,0.2552388691345715,0.14121475726692428,0.0866212721249717,0.4021840631877405,0.06665418402305712,-0.23222968467746052,0.6017291840508326,-0.4686051361133637,-0.07588813233171743,0.010358217117856255,-0.11989327670491567,-0.25231495089498107,-0.599010408195761,0.07438016528925617,-0.2341226885097787,0.0399025169049772,0.586583714440312,0.5197447161167972,-0.35801325277433105,0.258048927716241,-0.3408922798799282,0.4817794703865141,0.43389680329728497,0.0729469301807339,-0.41297741286102274,0.3500889963866514,0.034581355646563006,0.1795617961375391,0.4392164469163786,0.09765808363940437
Rv0020c,0.46724678516372486,0.3722159371212922,0.5255584332144686,-0.1728504179442487,0.11297434969239895,0.33129660558196916,-0.31023703592810226,-0.01606753816220033,0.4989252250074646,0.29792140552721336,-0.17723006900069943,0.3111829782349103,0.2683231524582727,0.15286471619795525,-0.05021511843567794,0.2522718855281921,-0.42960750989217955,0.562875751503006,0.20395904738430395,-0.5170723123572463,0.37771081149089303,0.09451568035307775,0.6044221911973593,0.37113930591237115,0.4010950331903868,0.3415447791872871,0.5495348825257672,0.3811274569205787,0.4549816347642035,0.3100081383253248,-0.13689133886158097,-0.31920934492926245,-0.2931292241969865,0.1659979939819458,0.3611564492194228,-0.11828793171555368,0.16993920588318684,0.379466161595992,0.27937270856471963,0.033271158144436985,0.0711601102480581,0.33786429341796126,-0.2559999802662562,0.5439661589595945,0.29663170086462926,0.2489373133214724,0.322544300909129,0.3562180757429706,0.38873134036271945,0.2377977678540198,-0.5823656269326022,0.3378993759860116,0.25481093625196066,-0.2876802768482119,0.6214642482892867,0.48362902445539524,0.5065342231323886,0.25055395156561,0.09708586397099778,0.3600832356945674,-0.586080569534159,0.5097710760505368,-0.3334522760283146,0.07394468957033076,0.5917550948892321,0.2838697224574506,0.016317072565452173,0.20193684661661443,0.24082174119698707,0.48389822353193745,0.6686189753460238,-0.004009638979832683,-0.6377398899026708,0.4276020070005489,-0.026483670506602275,-0.15019247194966523,0.1415477429766434,-0.010020065840385284,0.17857768527315662,0.08232199259910566,0.17148133368973895,0.42579524333005025,0.29419694838780586,0.18488779908569025,0.3011345842361365,0.5126805114388521,0.13639934112165464,0.10097610012599567,0.4953908543760419,-0.2919121159323069,-0.19952524867893418,0.0036934640097018856,0.3239817153689792,-0.04518529524280929,-0.067926466252651,0.7034770549661042,-0.009424888912200391,-0.02710274110176536,0.7406133513764542,0.23155165839309827,-0.4703820439289673,0.41785361798547105,-0.4205956201821505,0.47069188963498587,0.2119457135248135,-0.05426727909464535,-0.015662338786121888,0.4669319942184958,0.07505928513024002,0.02554470323065361,0.4951253166402557,-0.19915718188760934
Rv0022c,-0.10493378240067869,0.2856516610229823,-0.07934242260176205,-0.3575121456372656,-0.4371999632426556,0.11536210616802639,-0.3960822235484802,-0.15781791115372554,-0.2758956638562093,0.027359437751004023,-0.4545570805394819,-0.21203802142701922,-0.1789035567484667,0.01672295802592938,-0.4257512325107503,-0.09575955423436072,-0.5764526334510937,0.5456824802514966,-0.4680450794234983,-0.44003190020690675,0.039309785418830234,-0.3355141893584019,0.16210799978335055,-0.3667532190985232,0.11479373730438883,-0.4802672620415668,0.2527915279722202,0.2389181066867017,-0.15756534170698747,-0.19362593645565532,0.12808279368078984,-0.14177515331307447,-0.30189579387940885,0.047752104799246214,-0.13945322297466767,-0.8021537690959178,-0.3337755689788366,-0.1914326550093142,-0.1805343971876353,0.02859278349287714,0.4038217290343603,-0.5512273379348498,-0.3096697432247567,0.2482613400395579,-0.10085732687724483,-0.2745343440148199,0.11516942443742156,-0.03292652898990067,0.10557919674323085,-0.04716468160488088,-0.20723360199720947,-0.5215326924830437,-0.7337341016521435,-0.3370641837392151,0.34314873841215265,-0.21450575612985584,-0.15101030782716643,-0.10632376922443731,0.018601237262124065,-0.0937302120696451,-0.35516120252234934,0.29518277331120796,-0.35252019584954664,0.12461460983482861,0.5455911823647295,0.15375597386665055,-0.6655896104292982,-0.12375701135931311,0.3056945316569961,0.11645761198571088,0.16380265224691407,-0.38485606103474657,-0.4457780328716605,0.06637841263300825,-0.5211368511018726,-0.25575153364947184,-0.022411721834621423,-0.11203125806598031,-0.07065107316428698,-0.4374348397432637,-0.07702757479536512,0.3135970430298802,0.1831198191409194,0.04586688536732572,-0.09646403826413036,-0.052081982036958296,0.0010867746725130578,-0.0117912694430507,0.66850413430218,0.12244135150699043,0.0759603388431758,-0.127049790125767,-0.2575773530515667,-0.3494130928966278,-0.08615076383671422,-0.1950150540939264,0.030900962563790046,-0.13518167693956987,-0.42352619177120643,0.05014126460118534,-0.3419582784131645,-0.04473975064450442,0.34585877349707284,0.14570321782778783,0.25062509115213605,-0.12086872891169986,-0.5444257967764796,0.12060321760649328,-0.26549187054715045,0.3248184322564488,0.09731539043153398,0.16391450520654405
Rv0023,0.0056952472283078315,-0.5643198920835558,0.10415640963762018,0.002919019471020662,0.191551452626589,0.06554946654339172,-0.6074576378417513,0.0032685502568027824,-0.09339722451088417,-0.19200292983141193,0.033809107039863506,0.1720047561449224,-0.04367358067798485,-0.1368657550025289,-0.03188822609787617,-0.12877129375147706,-0.5423695476925583,0.3427226716206135,-0.04519327848145188,0.00583030165050355,0.1184707158914137,-0.3500807388745095,0.24395221188190686,0.013915843917281706,-0.0049595038117238865,0.5718666205408688,0.08457388997542437,0.5195198827187029,-0.02159176500125537,-0.3407031679940192,-0.14519312323638028,-0.46534140554171183,-0.2821450391492553,0.4843738347059388,0.13500164406198434,-0.3845195919572477,-0.16869048959420938,0.298562756932627,0.11356247376331757,-0.2757592763627243,0.07520902418463477,0.2532739241209345,0.12803402597442248,-0.5126219903315707,-0.031235825122892857,-0.20794050767887,-0.13001052780778896,0.38271015936558916,0.2267320285152037,-0.13437065623917555,-0.29695827354312193,-0.31426478656622575,0.2942106517731331,-0.6577793770665152,-0.28104663960136406,-0.09528915250370706,0.154960569385041,-0.18102295839094834,0.2502770029529767,0.07966848244897978,-0.3040496446586006,0.41926789144140203,-0.05436742143370138,0.29567467088142263,-0.3960963130083468,-0.17230476483933,-0.6487963037629516,-0.05626833052426894,0.1345373776992233,0.021417900261520212,-0.45638937471295404,-0.26358190936982856,-0.03399967501656315,0.025032142140536506,-0.40345706834073036,0.3004258471122011,0.23258812012569507,-0.045677114117580075,0.00620247094402232,-0.1491121361179659,-0.3460488780972364,-0.07208089144145086,-0.1645277013104529,-0.03052225880900833,-0.054749020994544983,0.11660743978408142,-0.11514644592325576,-0.49621658064867846,0.08992282239085458,0.3713668658162441,-0.0007505034740175331,-0.39278623171301025,0.17399973909711786,0.03344714966692236,-0.021913404361030675,0.037816178312046034,-0.07547094848886998,0.3019264035946096,-0.7320172972893286,0.1807805160753596,-0.22111261701292118,0.28352218955317926,-0.24669456063442619,-0.07577096404606735,0.31358268558313185,-0.5163564408203528,-0.3913852739717625,0.04319979837630056,-0.6548239431484385,0.35143494031490075,0.036076926103550344,-0.2568185589612168
Rv0038,0.17547811145258763,-0.33246430595239806,-0.08848312924712004,0.5473256175004206,0.6539102991771141,0.19684757571006756,0.046786242740386785,0.14146741106850041,0.14301715724919295,0.16503975508455365,0.386258710776493,-0.08411826954330986,0.3444228413211787,0.1647980104011264,0.5853001310744281,0.21644210296050265,0.0890372608393708,-0.04024737787262833,0.7034410305700338,0.07743813089528845,-0.13288267209166277,0.5116281569237857,0.036989769891978885,0.5017601742480163,0.22600790332537085,-0.15173599449855266,-0.013395166585586926,0.5622556324396423,-0.333598608915814,0.08766007434907147,0.1294101099212761,0.6742637676852046,0.5710116742634052,-0.3669191830915608,0.11920639879260175,-0.0593538692712246,-0.19260584508295572,-0.16611227962824993,-0.13773933494015367,0.12302185335419391,0.314941266522373,0.5401968139765067,0.43111099255212443,0.16937851542276428,-0.27617090570719594,-0.19236753821317326,0.3125275550468751,0.3017979961578915,0.2737795170549192,0.02992205179783755,0.4412977937624346,-0.3935985229751725,-0.41257755939602303,-0.34641168890660007,0.3901216224894211,0.3054714262988936,0.20773839677603556,0.16723154034903281,0.47526560893752423,0.047493269032496344,0.5665963964296242,-0.19362070811392093,0.48647046588687465,0.1941476720264665,-0.31074781318636374,-0.19088333215077052,0.5785509966925895,0.3215467428651805,0.4494455105254982,0.1473590458103743,-0.35515014267721756,0.22746426812773102,-0.1477982004493288,0.3682176398304583,-0.08310280135562445,0.13810887214469791,0.2585354456989812,0.5754410051524123,-0.14271964495608142,0.40357964032072824,0.05969140500644471,0.1623797738106758,0.2049976936050455,0.2574775499385837,0.16616771116724993,-0.002182445456082649,0.10607742929985337,-0.013423363567102553,0.13298417432353882,0.4457569792850216,-0.3186673842341323,0.23234875402941924,-0.42344484989206066,0.37434192822369544,0.48534936138241924,-0.44795867100074005,-0.11952008906022676,0.41753438954531313,-0.15945230510144426,0.23764341197417369,0.17448218710810143,0.05118514871435756,-0.22241269086842855,-0.1486091116417802,0.31052168670669333,0.015414662781859878,0.29225243024858755,-0.020263589325954123,-0.025456708885128465,0.3635342281536459,0.04437802351644621,-0.15723457649086436
Rv0042c,0.366892689213611,0.16999564118440147,0.31762569516616007,-0.291218546024246,-0.3045575498928639,-0.1599536284041837,-0.37752356799096576,-0.4392038141710781,0.20521375651747137,0.4448769203593156,-0.301892059269355,-0.05687775215316915,0.15056573828009504,-0.0340096260396166,-0.1373853872517286,0.11879413321003321,-0.5068242537259758,0.6606566267849231,-0.11299655227047198,-0.7439336827178775,0.05206512885990369,-0.42457083215784064,0.011022044088176364,0.3873570328153919,0.37340963794007775,0.19877036901487793,0.4670571126559847,-0.19267999188943535,0.4944599762290279,-0.4307364729458918,0.022759946142902637,0.05343259377339643,-0.2852449251398366,-0.03707367401918213,-0.07082783938080894,-0.538935804324234,0.04599706563529876,0.14718466995869073,0.12056231188667843,-0.06367622707231532,0.03896598526891332,0.1523677028421579,-0.10169250744265843,0.3845947102241766,0.1869778804599475,0.09202878575289103,0.220356085247446,0.3089846246838231,0.35053215964589945,0.20653474273950212,-0.5885970669029537,-0.00898435034809969,0.2781657543618916,-0.25263837757874286,0.6346776618775801,0.3763994209934267,0.19851442528754382,0.09006496522282245,0.15933905416348537,0.20261155840760792,-0.52158387032625,0.5874648357296107,-0.27809537242127347,0.1570125313731452,0.7694429077533496,0.5055916764696531,-0.2729822432262694,-0.09084265434259825,0.0990198542347324,0.35508820256455836,0.5490801180529915,-0.1750758986534342,-0.5164135736600965,0.4066645995855032,-0.32857375606555816,-0.0545158640005618,-0.3656240919394655,0.02368620519175818,-0.1582042304481655,0.07739000037552013,0.023297101454084645,0.32951190467309244,0.4810256047361707,0.08729743053230662,-0.0025838991455827687,0.3844923243861431,0.13205394077311391,0.07858543725772316,0.14011557761424004,0.20110466682395406,-0.19457892756722506,0.048675923429768064,-0.3133703719540374,0.04946008446495209,-0.6987401082087559,0.04233102813056144,-0.12917778647678693,0.1986676883189913,0.5488486010359007,0.2557994128996235,-0.5962253891396038,-0.025760356305823906,0.1983864109615524,0.2682626132010758,0.15640652539064148,0.21697769115919896,-0.28688255774793414,0.2297276221750855,-0.47428430426259094,0.21595571928451732,0.1211134030819297,-0.07345318646909244
Rv0043c,0.12803717941982376,-0.2896895662841992,-0.24938767606393553,0.2898764273964667,0.41232749653003037,-0.03387703889585947,0.3049372690772012,-0.3143746034976231,-0.3727468041021461,-0.20779545395569354,-0.06597842095030973,-0.1112898358974082,-0.26514105506228564,-0.3367250663727247,0.39756622606711034,-0.23952723745021337,-0.762734174914982,-0.7656392045500451,0.5068660289472884,-0.2655560553678445,-0.08552768437681438,0.33564988586220834,0.08241482965931868,-0.18220947061534806,-0.27500742330342004,0.07177449250134971,-0.3266549075963959,-0.6163061180571491,-0.2887223926806399,-0.3869766668212723,-0.1576946116019483,-0.5417062994091119,0.3280265129273895,-0.28123508832071886,0.17144630941649475,0.22877589191434744,0.030010691543597645,-0.11390661919278616,-0.16035584484507276,-0.40729396019477565,0.11084029654124475,0.2551811321075676,0.4381082991034445,-0.6343414251460259,-0.20899309235974883,-0.1361422166120067,-0.36672886151561646,-0.10443407443555369,-0.21349691785660646,-0.4376493696087471,0.47910285381870243,0.11863203705873626,0.055847733533683885,-0.6608340719672083,-0.010438864500690204,-0.38199303036987475,-0.2825466701512173,-0.26803308321757635,0.200756261327973,-0.2198530466095458,0.4507789111531472,-0.1616136306690053,0.1978324227693557,-0.08243731170864227,0.29609218436873747,0.15224225776300854,-0.21764823197439703,0.07927418983842971,0.18372440009570956,-0.3194152274048316,-0.4890927455619789,-0.05025190309456645,0.5501486977210118,-0.27015702465235514,-0.10293166413933516,-0.43174157169642496,-0.15412413015315746,-0.5100464654045612,0.0824768112308849,0.4367107217880798,-0.46739810133208076,-0.0682965945845378,-0.24027701184714234,0.027446094331889492,-0.06935940045128575,-0.38933846435607544,0.0293868392551897,-0.17858920866691416,-0.544403562510357,0.5148235343193895,-0.1333378566460551,-0.34079101439348697,-0.07065007029722781,-0.06139313462776386,0.06881677475173098,-0.6880601686272314,-0.08062938714186532,-0.3786437142217223,-0.7249829337101643,-0.158733290419739,-0.10227112923000792,-0.08228485153497739,-0.03155669954728485,-0.13859476643988655,-0.25665241438601516,-0.21881202625256424,0.2052523757861664,-0.18507240927566732,-0.6553892669059049,-0.3111695965352818,-0.27856178638721796,-0.12948862987035004
Rv0047c,0.16682628460025567,0.16326873754847632,0.1419221625056608,0.2649633441748338,0.5623386891731039,0.1710852881652994,-0.27309752564241296,0.39973270143577744,0.3450776626254036,-0.3665694512143929,0.3243248693481766,0.16559618326206954,0.19801854757231002,-0.038842499648170936,0.3037163637467619,0.1044726324561907,0.7675955058561076,-0.6303851807388361,0.5518777305975224,-0.06813671043200487,-0.039450709760349645,0.18703560490003723,-0.2077647912724547,-0.19215831321566645,-0.033594707928131906,0.19450614701780444,-0.003961727205181037,0.5316542595643491,-0.2141573918996657,0.5798766616706177,-0.024002686801288198,0.5206089794833719,0.435450711328168,0.3929073291078733,-0.4028094711488307,-0.13001926383659984,-0.3605158377549158,-0.042458777516943935,-0.2855517724849861,-0.02271039489086729,-0.1863758612484171,0.16318352280063997,0.44242728184553665,0.3507533805734905,-0.14930638540097887,-0.18648418145336434,0.16486566679591633,0.21388383127196656,-0.01434176244267582,0.21631098063063892,0.39824114176584935,-0.024759936993133558,0.17049953420219996,0.03367203186528103,-0.22584127602258228,0.2134676756810937,0.004979599307318339,-0.0028850194108642757,-0.04264024787396209,0.13637248206980762,0.42311530221524984,0.14485305515618974,-0.22688658704508702,-0.12122997959470896,-0.21141692622624414,-0.27437315572076454,0.6807409328300532,-0.23047628364461464,0.007124470156552987,-0.11084385994606635,-0.44265812805780363,0.29745619690262315,0.252244153009716,0.07678480659645137,-0.2539941991788368,0.17344303804035,0.4111978936526173,-0.005082608584267345,-0.1593294136087693,0.23781160204005902,-0.22527930460880155,-0.2155004391315701,-0.26318336976997597,0.058124461423528284,-0.278103612506523,0.0761662118403349,-0.1501411227530846,-0.032415819901675524,0.050172524298269516,-0.006269775876881489,-0.2595421568027616,0.473272028027648,0.4648168589031113,0.330402691697443,0.620335587277736,-0.34325381918357123,-0.1897082487403004,-0.003259515571524124,0.2965555352836792,0.14895441685653904,0.22961919868381103,0.12152282322451496,-0.437549260022285,-0.18276597393688304,-0.17844090006583985,-0.38874864643141205,0.24451837834502338,-0.1437186530951245,0.06897235587580897,0.21043556387405918,0.11589187129939954,-0.02408214478981341
Rv0054,-0.3072394759318566,0.030537557023202905,-0.2697199162885464,0.09143899708491354,-0.17060206297264097,-0.24015190153091848,-0.26758277791119367,-0.23416984353856365,-0.3471165456661355,0.23618061934826126,0.14535217642088732,-0.12206376342301814,-0.23787162530891626,-0.24437792686410975,0.19977465771415392,-0.2183286043218884,-0.2776523532025098,0.4240761823522096,0.28933601388696406,-0.47884590482906575,-0.17370170344408642,-0.12384168787657712,-0.25717082145988335,-0.3796791921752268,-0.13632796289472335,0.34701334927276345,-0.13795357558595966,-0.5137228605473593,-0.27393651321478285,0.4331495008205525,-0.22689388428387058,-0.48499020193737574,0.5908994564632771,-0.11347148240839022,0.07564645787439345,-0.17981467568244425,0.29038131251068944,-0.22525521567239087,0.11182884266937321,-0.053293104726958584,-0.16707567976637971,0.0343961837810695,0.3794481107867126,-0.1349172994990645,-0.17333038650369947,0.13124302714668046,-0.3447721203477536,-0.15152187693514335,-0.14471648415658417,-0.36567771627446377,0.5220932622310679,-0.07896569651785268,0.02729777109942394,-0.2528487016623757,-0.12167586552935272,-0.435311217235427,-0.38278989431298427,-0.15807376403939755,-0.2926848024096407,-0.18733614503000667,0.7325112057507347,-0.42651377596956375,0.4257358579426806,-0.4343781918644792,0.37375954808167067,0.34227660193174597,0.3299343101372681,0.06499397886967595,-0.15561243315800521,-0.21899200854295497,0.28989907397614706,-0.22827980653488605,-0.12229413477951626,-0.267494050678721,-0.2225086307339328,0.015383592212447839,-0.3429718695912576,-0.4219281664507038,0.20593337957139904,-0.2217906178423087,-0.48634573426548805,-0.15447798194843573,0.02906144857330864,-0.23167196285768632,0.17218744841859024,-0.04416792013275278,0.0805234290901149,0.47957400194505195,0.05011275369581561,0.5850378591096931,-0.07441981161186464,-0.32216114089425807,-0.19919457559547843,0.09324330357844696,-0.30702363069245664,0.31038612318639325,0.12935073775659317,0.07862110937228317,-0.177312540027079,-0.19852942732506418,0.20884537936942815,-0.13498602191429993,0.3828621973159405,0.0037517060645357314,-0.42728342966539723,-0.13714327394366707,-0.14753788550210897,0.01674372959930656,-0.4252016383445165,-0.4161583067324016,-0.23243342969645253,-0.4033673496273082
Rv0067c,-0.0498847240516479,0.015426857771485614,0.07269293149806705,-0.30624423369094206,-0.585638920767415,-0.010518862400669182,0.3166007950797295,-0.5009682469709494,0.07762821877429038,0.051889499633901104,-0.367545805091475,-0.1234565126572332,-0.1367001747574428,0.01605808207668724,-0.25548234307169304,0.03544781600899963,0.3105358238598054,-0.2528906357853733,-0.22345692029912173,-0.4014311308087133,0.09990950543538085,-0.3717924716054417,0.44126166239764303,-0.17055430147980932,0.13225078489472591,-0.5775322356257906,0.17150318231469353,0.3820476718042239,0.5709320720435965,0.2854270726931937,-0.19408760138455158,-0.2609380040747405,-0.09143800257997711,-0.34936358417049296,0.20694615248693743,0.03427459817825107,-0.18816734247549333,-0.11663952191181981,-0.030055562373904804,0.025880357507787027,0.3886262329541078,0.08221344467237346,-0.5754849194711422,0.2874071042616052,0.2299312449434625,0.14704289449462082,-0.228738414203065,-0.10334624397962539,-0.016328532079744107,-0.03356969945418667,-0.2752990447070018,0.26494911174781827,-0.5571886813122621,0.03907889459221481,0.35678716757055434,0.276656439254079,0.0441505131128849,0.04858008591678256,0.002974749182461822,-0.03953001290977304,-0.41308164229855854,0.17008436197050142,-0.2958322962553767,0.09005344196614737,0.6375250501002004,0.33599736467271124,-0.5316702130683548,0.04755078873237323,0.00825393242010422,0.17600753343996733,0.515909207371244,-0.07659671644986465,-0.5097548045528273,0.12478952023967216,0.31129930159001096,-0.15353300148559745,-0.26791877011153764,-0.09793479258168886,0.17151151678062626,-0.2021197968692804,0.24335483717550466,0.12109169185075769,-0.02017184932163077,0.11115287597825299,0.20842046037050294,-0.045869901121921075,-0.012333144656929168,-0.2356612354517198,-0.2347329653859786,-0.3933276058812504,-0.5249732339303897,-0.20441982755573535,-0.2710004271791873,-0.30374571991837584,-0.6754044452163145,-0.20520563764365424,-0.2744844971632264,0.2755315815031456,0.5212768182127541,0.04675078914517891,-0.5461842822267948,-0.0778232727110425,0.000183577673856683,0.31028249148179565,-0.08688547437625987,-0.020416848066680593,-0.30876886180577245,0.020545439801019527,0.19249842301803577,-0.6492808141730708,0.11868780726466399,0.009710402141804242
