,KO Divergence Statistics
Essentiality-KO Divergence U1,179137.5
Essentiality-KO Divergence U2,30607.5
Essentiality-KO Divergence AUC ROC,0.8540728026889794
Essentiality-KO Divergence Mann-Whitney U-test p-value,2.21810438169671e-71
VI Pearson Correlation,-0.6129390331858189
VI Pearson p-value,3.99266182953642e-105
FBA Predicted Essentiality-KO Divergence Pearson R,-0.9953669115228369
FBA Predicted Essentiality-KO Divergence Pearson p-value,0.0
FBA Predicted Essentiality-KO Divergence U1,192493.0
FBA Predicted Essentiality-KO Divergence U2,0.0
FBA Predicted Essentiality-KO Divergence AUC ROC,1.0
FBA Predicted Essentiality-KO Divergence Mann-Whitney U-test p-value,8.609858795611288e-129
Essentiality-FBA Predicted Growth U1,179137.5
Essentiality-FBA Predicted Growth U2,30607.5
Essentiality-FBA Predicted Growth AUC ROC,0.8540728026889794
Essentiality-FBA Predicted Growth Mann-Whitney U-test p-value,1.250326654729331e-80
