metabolite,Mann-Whitney U1,Mann-Whitney U2,rho,p-value,adj p-value,tf,represented metabolites,name,compartment,formula,id,bigg_id,MetaNetX id,KEGG id,SEED id,CHEBI id,KEGG pathways,KEGG modules
4abut[c],40624.0,35472.0,0.533851976450799,0.15453508912501573,0.9987209172869325,Rv0022c,set(),4-Aminobutanoate [cytoplasm],c,C4H9NO2,4abut[c],4abut_c,MNXM192,C00334,cpd00281,11961;16865;1786;193777;20317;20318;30566;40483;59888,"Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;beta-Alanine metabolism;Butanoate metabolism;Nicotinate and nicotinamide metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Quorum sensing;cAMP signaling pathway;Neuroactive ligand-receptor interaction;Neuroactive ligand signaling;Synaptic vesicle cycle;Retrograde endocannabinoid signaling;GABAergic synapse;Taste transduction;Estrogen signaling pathway;GnRH secretion;Morphine addiction;Nicotine addiction","GABA (gamma-Aminobutyrate) shunt;GABA biosynthesis, eukaryotes, putrescine => GABA;GABA biosynthesis, prokaryotes, putrescine => GABA"
h2o[c],30860.0,45236.0,0.405540370058873,0.9977375673418257,0.9987209172869325,Rv0022c,set(),H2O H2O [cytoplasm],c,H2O,h2o[c],h2o_c,MNXM2,C00001;C01328,cpd00001;cpd15275;cpd27222,10743;13352;13365;13419;15377;16234;27313;29356;29412;30490;33813;42043;42857;43228;44292;44641;44701;44819;5585;5594,Oxidative phosphorylation;Photosynthesis;Carbon fixation by Calvin cycle;Metabolic pathways;Thyroid hormone synthesis;Renin secretion;Vasopressin-regulated water reabsorption;Proximal tubule bicarbonate reclamation;Collecting duct acid secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases;Chemical carcinogenesis - reactive oxygen species;Diabetic cardiomyopathy;,"Cytochrome bd ubiquinol oxidase;Cytochrome c oxidase;Cytochrome c oxidase, prokaryotes;Cytochrome c oxidase, cbb3-type;F-type ATPase, prokaryotes and chloroplasts;F-type ATPase, eukaryotes;V/A-type ATPase, prokaryotes;V-type ATPase, eukaryotes;Photosystem II;Cytochrome aa3-600 menaquinol oxidase;Cytochrome o ubiquinol oxidase;"
ptrc[c],36267.0,39829.0,0.47659535323801516,0.7591560813308611,0.9987209172869325,Rv0022c,"{'orn[c]', 'orn[e]'}",Putrescine [cytoplasm],c,C4H14N2,ptrc[c],ptrc_c,MNXM118,C00134,cpd00118;cpd12215,14972;17148;26405;326268;45092;8650,"Arginine and proline metabolism;D-Amino acid metabolism;Glutathione metabolism;Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of various siderophores;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Efferocytosis;Protein digestion and absorption","Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine;Polyamine biosynthesis, arginine => ornithine => putrescine;GABA biosynthesis, eukaryotes, putrescine => GABA;GABA biosynthesis, prokaryotes, putrescine => GABA;Putrebactin biosynthesis, putrescine => putrebactin;Alcaligin biosynthesis, putrescine => alcaligin"
nh4[c],38497.0,37599.0,0.5059004415475189,0.42970242524218955,0.9987209172869325,Rv0022c,{'nh4oh[c]'},Ammonium [cytoplasm],c,H4N,nh4[c],nh4_c,MNXM15,C00014;C01342,cpd00013;cpd19013,13405;13406;13407;135980;13771;16134;22533;22534;28938;29337;29340;44269;44284;44404;49783;7434;7435,"Arginine biosynthesis;Purine metabolism;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Cyanoamino acid metabolism;Glyoxylate and dicarboxylate metabolism;Lipoic acid metabolism;Nitrogen metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Nitrogen cycle;Proximal tubule bicarbonate reclamation;Collecting duct acid secretion;Protein digestion and absorption;Vibrio cholerae infection;Epithelial cell signaling in Helicobacter pylori infection;Epithelial cell signaling in Helicobacter pylori infection","Urea cycle;Nitrogen fixation, nitrogen => ammonia;Nitrification, ammonia => nitrite;Dissimilatory nitrate reduction, nitrate => ammonia;Assimilatory nitrate reduction, nitrate => ammonia;Photorespiration;Glycine cleavage system;Complete nitrification, comammox, ammonia => nitrite => nitrate;Anammox, nitrite + ammonia => nitrogen;Ornithine-ammonia cycle;"
co2[c],33087.0,43009.0,0.4348060344827586,0.9749733606663035,0.9987209172869325,Rv0022c,set(),CO2 CO2 [cytoplasm],c,CO2,co2[c],co2_c,MNXM13,C00011,cpd00011,13282;13283;13284;13285;16526;23011;3283;48829,"Arginine biosynthesis;Purine metabolism;Glycine, serine and threonine metabolism;Chlorocyclohexane and chlorobenzene degradation;Chloroalkane and chloroalkene degradation;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Carbon fixation by Calvin cycle;Other carbon fixation pathways;Lipoic acid metabolism;Atrazine degradation;Nitrogen metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Proximal tubule bicarbonate reclamation;Collecting duct acid secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Carbohydrate digestion and absorption;Protein digestion and absorption;Bile secretion","Reductive pentose phosphate cycle (Calvin cycle);CAM (Crassulacean acid metabolism), dark;CAM (Crassulacean acid metabolism), light;C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type;C4-dicarboxylic acid cycle, NAD - malic enzyme type;C4-dicarboxylic acid cycle, NADP - malic enzyme type;Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway);Acetyl-CoA pathway, CO2 => acetyl-CoA;Methanogenesis, CO2 => methane;Glycine cleavage system;Ornithine-ammonia cycle"
asp__L[c],33820.0,42276.0,0.4444386038687973,0.9525418377702081,0.9987209172869325,Rv0022c,{'iasp[c]'},L-Aspartate [cytoplasm],c,C4H6NO4,asp__L[c],asp__L_c,MNXM42,C00049;C16433,cpd00041;cpd19181,13085;132943;17053;21244;21247;22659;22660;29991;29992;29993;29995;35391;40853;40900;40913;40942;6193,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Lysine biosynthesis;Histidine metabolism;beta-Alanine metabolism;Cyanoamino acid metabolism;D-Amino acid metabolism;Glyoxylate and dicarboxylate metabolism;Carbon fixation by Calvin cycle;Nicotinate and nicotinamide metabolism;Pantothenate and CoA biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of various plant secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;ABC transporters;Two-component system;Bacterial chemotaxis;Neuroactive ligand-receptor interaction;Protein digestion and absorption;Central carbon metabolism in cancer;","Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine;Methionine biosynthesis, aspartate => homoserine => methionine;Threonine biosynthesis, aspartate => homoserine => threonine;Urea cycle;Ectoine biosynthesis, aspartate => ectoine;NAD biosynthesis, aspartate => quinolinate => NAD;Pantothenate biosynthesis, valine/L-aspartate => pantothenate;C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type;C4-dicarboxylic acid cycle, NAD - malic enzyme type;Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine;Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine;Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine;Arginine biosynthesis, ornithine => arginine;Arginine biosynthesis, glutamate => acetylcitrulline => arginine;Ectoine degradation, ectoine => aspartate;Cremeomycin biosynthesis, aspartate/3,4-AHBA => cremeomycin;"
asn__L[c],34097.0,41999.0,0.44807874264087466,0.9406928356569579,0.9987209172869325,Rv0022c,{'asn__L[e]'},L-Asparagine [cytoplasm],c,C4H8N2O3,asn__L[c],asn__L_c,MNXM147,C00152;C16438,cpd00132;cpd15142,13083;17196;21242;22653;32650;32651;32660;32661;40902;58048;6191,"Alanine, aspartate and glutamate metabolism;Cyanoamino acid metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer;",;
gln__L[c],39744.0,36352.0,0.5222876366694701,0.25154830594446664,0.9987209172869325,Rv0022c,set(),L-Glutamine [cytoplasm],c,C5H10N2O3,gln__L[c],gln__L_c,MNXM37,C00064;C00303,cpd00053;cpd00253,13110;18050;21308;24316;28300;32665;32666;32678;32679;42812;42814;42899;42943;5432;58359;6227,"Arginine biosynthesis;Purine metabolism;Pyrimidine metabolism;Alanine, aspartate and glutamate metabolism;D-Amino acid metabolism;Glyoxylate and dicarboxylate metabolism;Vitamin B6 metabolism;Nitrogen metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Nucleotide metabolism;Biosynthesis of cofactors;ABC transporters;Two-component system;Cornified envelope formation;Glutamatergic synapse;GABAergic synapse;Proximal tubule bicarbonate reclamation;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer;","De novo purine biosynthesis, PRPP + glutamine => IMP;De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP;Pyridoxal phosphate biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P;Ornithine-ammonia cycle;"
ala_B[c],34982.0,41114.0,0.4597087888982338,0.8870699075285159,0.9987209172869325,Rv0022c,{'ala_B[e]'},Beta-Alanine [cytoplasm],c,C3H7NO2,ala_B[c],ala_B_c,MNXM144,C00099,cpd00085,10343;12389;16958;22821;41050;57966;63070,Pyrimidine metabolism;beta-Alanine metabolism;Propanoate metabolism;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Neuroactive ligand-receptor interaction;Protein digestion and absorption,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate;Pantothenate biosynthesis, valine/L-aspartate => pantothenate;Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate"
pi[c],34689.0,41407.0,0.45585838940285955,0.9077142495161672,0.9987209172869325,Rv0022c,"{'pppi[c]', 'ppi[c]'}",Phosphate [cytoplasm],c,HO4P,pi[c],pi_c,MNXM9,C00009,cpd00009;cpd27787,14791;18367;26020;26078;29137;29139;35780;39739;39745;43470;43474;45024;7793,"Oxidative phosphorylation;Photosynthesis;ABC transporters;Two-component system;Quorum sensing;Cell cycle - yeast;Parathyroid hormone synthesis, secretion and action;Mineral absorption;Parkinson disease;Pathways of neurodegeneration - multiple diseases","F-type ATPase, prokaryotes and chloroplasts;F-type ATPase, eukaryotes;V/A-type ATPase, prokaryotes;V-type ATPase, eukaryotes"
