,u1,u2,auc,p-value,adj p-value
Rv0019c,,,,,
Rv0020c,,,,,
Rv0022c,90241.5,167042.5,0.3507466457300104,0.9999999999999536,1.0
Rv0023,295958.5,570878.5,0.34142347407874835,1.0,1.0
Rv0038,,,,,
Rv0042c,,,,,
Rv0043c,3137.0,3517.0,0.47144574691914637,0.595818240523432,1.0
Rv0047c,28644.0,35371.0,0.44745762711864406,0.9136002792937812,1.0
Rv0054,,,,,
Rv0067c,,,,,
Rv0078,26160.0,60267.0,0.3026831892811274,0.9999999985633605,1.0
Rv0081,126713.0,273277.0,0.316790419760494,1.0,1.0
Rv0117,3884.5,3871.5,0.5008380608561114,0.49717730123476933,1.0
Rv0135c,,,,,
Rv0144,,,,,
Rv0158,36143.0,91061.0,0.28413414672494575,0.9999999999999944,1.0
Rv0165c,,,,,
Rv0182c,3704.0,4052.0,0.4775657555440949,0.5815184528579642,1.0
Rv0195,4705.0,6345.0,0.4257918552036199,0.7912111845045953,1.0
Rv0212c,5856.0,5224.0,0.5285198555956678,0.3779529624365348,1.0
Rv0232,8163.0,5073.0,0.6167271078875793,0.0816236683390536,1.0
Rv0238,113277.5,228864.5,0.3310832929017776,1.0,1.0
Rv0260c,96232.0,214078.0,0.31011569076085205,1.0,1.0
Rv0273c,8852.0,13348.0,0.3987387387387387,0.9402656686923034,1.0
Rv0275c,,,,,
Rv0302,,,,,
Rv0324,67885.5,116614.5,0.3679430894308943,0.9999999928508317,1.0
Rv0328,60254.5,123670.5,0.32760364278918036,0.9999999999998838,1.0
Rv0330c,8904.0,5422.0,0.6215272930336451,0.06549494454933384,1.0
Rv0339c,,,,,
Rv0348,18270.0,49707.0,0.26876737720111216,0.9999999996961862,1.0
Rv0353,17393.0,30757.0,0.36122533748701974,0.9992186007910255,1.0
Rv0377,,,,,
Rv0445c,26030.5,32004.5,0.4485310588438012,0.8978388115773929,1.0
Rv0452,10855.0,30109.0,0.26498877062786835,0.9999996054328824,1.0
Rv0465c,19241.5,46760.5,0.2915290445744068,0.9999999804889722,1.0
Rv0472c,,,,,
Rv0474,,,,,
Rv0485,,,,,
Rv0491,4664.0,3106.0,0.6002574002574003,0.17973056780918312,1.0
Rv0494,,,,,
Rv0576,67224.0,143514.0,0.3189932522848276,0.9999999999999999,1.0
Rv0586,,,,,
Rv0599c,,,,,
Rv0602c,,,,,
Rv0608,,,,,
Rv0623,,,,,
Rv0653c,,,,,
Rv0674,23256.0,64872.0,0.2638888888888889,0.9999999999994327,1.0
Rv0678,2188.0,6676.0,0.24684115523465705,0.9933338308088867,1.0
Rv0681,5549.0,6595.0,0.456933465085639,0.6891199216974409,1.0
Rv0691c,,,,,
Rv0735,10258.0,842.0,0.9241441441441441,1.8288952574472675e-06,0.00018837621151706856
Rv0737,8516.5,22977.5,0.2704165872864673,0.999988401066403,1.0
Rv0744c,9748.5,23855.5,0.29009939292941317,0.999967839434079,1.0
Rv0757,32744.0,58345.0,0.3594726037172436,0.9999937315100185,1.0
Rv0767c,15601.5,15950.5,0.4944694472616633,0.5407110366229767,1.0
Rv0792c,,,,,
Rv0818,171424.5,339175.5,0.3357314923619271,1.0,1.0
Rv0821c,,,,,
Rv0823c,,,,,
Rv0827c,8824.5,6645.5,0.570426632191338,0.18202826796216726,1.0
Rv0844c,,,,,
Rv0880,6008.5,6135.5,0.49477108036890644,0.5240475948285663,1.0
Rv0891c,,,,,
Rv0894,,,,,
Rv0903c,,,,,
Rv0967,,,,,
Rv0981,,,,,
Rv1019,,,,,
Rv1027c,,,,,
Rv1033c,32648.0,45422.0,0.4181888049186627,0.9908452443374354,1.0
