,"Alanine, Aspartate, and Glutamate Metabolism",Whole Metabolism,Alternate Carbon Metabolism,Arabinogalactan biosynthesis,Arginine and Proline Metabolism,Beta oxidation of unsaturated fatty acids,Carbon metabolism,Citric Acid Cycle,Cofactor,Cofactor and Prosthetic Group Biosynthesis,Cysteine and methionine metabolism,Degradation/Utilization/Assimilation,Ergothioneine biosynthesis,Fatty acid biosynthesis,Fatty Acid Metabolism,Folate Metabolism,Fructose and mannose metabolism,Glycerolipid metabolism,Glycerophospholipid metabolism,Glycolysis/Gluconeogenesis,Glyoxylate Metabolism,Histidine Metabolism,Inositol phosphate metabolism,L-alpha-aminoadipic acid (L-AAA) biosynthesis,Lipid metabolism,Lipopolysaccharide Biosynthesis / Recycling,Membrane Metabolism,Miscellaneous,Mycobactin biosynthesis,Mycolic Acid Biosynthesis,Mycolic acid pathway,Nicotinate and nicotinamide metabolism,Nucleotide Salvage Pathway,Other Amino Acid Metabolism,Others,Oxidative Phosphorylation,Pantothenate and CoA Metabolism,Pentose Phosphate Pathway,Peptidoglycan Metabolism,p-HBAD biosynthesis,Phenolic glycolipid biosynthesis,Polyprenyl Metabolism,Propanoate Metabolism,Purine and Pyrimidine Biosynthesis,Pyruvate Metabolism,Redox Metabolism,Riboflavin Metabolism,Spermidine biosynthesis,Starch and sucrose metabolism,Sulfur metabolism,Thiamine Metabolism,Threonine and Lysine Metabolism,Transport,tRNA Charging,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Unassigned,Urea Cycle,"Valine, Leucine, and Isoleucine Metabolism",Cholesterol degradation
Rv1725c,7.296826376456415,622.8386563740812,0.6855564857487454,0.19534181227103192,2.3843848805387236,0.26353018666674843,0.10166976739523566,4.48185035465276,1.1574032535688679,11.480721885475942,5.993499000047975,,0.1427164844980528,,1.9428038597081634,1.5119180573833542,0.5577329892456467,0.14797998438155535,2.0730120210042786,7.283257600476843,1.9218809029749286,0.28270609280886355,0.9026673862544845,,4.988923352251765,0.02623067529038763,1.2746444413716054,0.4198601944991913,2.55633232461786,1.8007052533931054,0.17595622263576274,0.46970126288905695,0.7554294465883162,3.3252087527408305,0.15100111042284176,3.179036747192753,1.8691317780615782,0.3316994966959592,0.4137147438644337,4.29800941366484,13.560726202097948,0.424075106691475,1.1124559206887563,79.65505997242684,3.5016293379512913,8.029772531036516,1.3450440604203264,inf,0.3150479622249229,1.1925727178998955,0.304475089144385,0.24561009009017717,13.900399181370382,12.70972732592932,0.2809425201227189,,0.09585250833701353,1.603530544654129,93.80220399909815
Rv3295,6.519676972424733,838.4754445628474,4.507488265968392,5.44002066134056,24.081079338636094,16.20501006153668,0.27797428012904635,24.514874425703518,3.997586427828586,190.84262195304578,16.981002816688804,,1.7804966695494753,inf,58.215810523214266,8.769262137193117,19.852727588933025,0.1609311371986303,35.66847159266213,37.0193300657534,11.099024483813924,5.697924508213951,4.305819354860802,,47.267473219611084,0.07341856400255559,21.62357682474564,4.789881887617142,6.252410619576871,86.37159480268676,6.62296700781819,1.161340931590325,4.780796983036934,7.838258236892769,2.5663958971401684,21.095639155150565,19.88390346417437,13.068107592217206,129.56178491150342,16.874322989437367,12.834834870726427,5.03429245992835,10.974671605852706,39.18363584121482,32.80443094529488,51.630484022985605,5.716848112733573,inf,2.1803880439440615,4.37848253759681,2.2114582891493364,1.5417288518197054,104.44348097244551,12.70972732592932,3.46791941772306,,2.0678451730230765,4.6449411181895295,98.98390474298752
Rv1963c,6.034534279325677,828.5249868208914,0.24274617655579836,0.5773384105477259,2.43550137839052,0.07081197836854775,0.19581227345296823,14.406362873942552,3.997586427828586,9.63943155321037,8.470568223148259,,14.458168079938526,,1.4590284019043116,10.457614169397676,1.4046310835797198,0.0809770813165229,1.3196889668744198,32.759699490634866,2.0277329241455484,30.39619575734903,1.2482217818774812,,4.369792640124485,0.0,0.3857971949626468,0.5471560890309287,2.885144620034689,4.363321391359546,0.7442028491379288,0.30577428233651666,0.48880702416351995,3.313155798756543,0.06557562528148789,2.973287664002848,22.443728953679905,0.78430574178177,6.0977329081622615,15.889590025111405,12.807593021981523,0.4725815028813631,0.9315865781733055,33.89162453426573,20.10715859887063,5.718757270942241,1.7994659556504293,,0.19549168341629336,1.075542057014943,0.24175915003454604,0.23176545587689457,22.1811478837163,12.70972732592932,0.0,,0.12495703359661309,2.918263321327156,100.10535714288514
Rv3328c,14.617533680442927,673.4849972345747,0.2446805394240546,0.2013259506056297,1.7815281326802253,0.1193806265830992,0.21043563387152045,6.560975704684825,0.6723801613166872,14.625661170377917,6.3426339105481615,,0.0012058940261010938,,2.3365946001224724,1.0228115354851883,3.1612996853163735,0.09571712696234522,3.003391448653526,7.915869666142635,1.9774559473873101,0.2619500736031176,1.1036521432580981,,4.2812355440183,0.0,1.0362071747375325,0.21869196661230758,2.7495054406310198,2.3085833945759693,0.7444213535775079,0.3660510260429271,0.5107672264602144,2.8409762385653012,0.031445361491371,4.25110883682394,3.0517591501464083,0.4819653024755747,4.050516220603376,11.168495052495075,13.394196082081356,0.2427115854094362,0.9987244969281697,24.899642114243647,4.669927303138716,7.295064284199308,1.3152633154610174,inf,0.1820611361567812,0.8406736832530135,0.12746460680600763,0.15949026611717904,19.54296499119472,12.70972732592932,0.4379986063723611,inf,0.05859055403092485,13.37244052643263,99.04133570184969
Rv1358,16.10836877852421,831.5921343204038,43.10907836790795,0.16173815057059138,2.5762452510742473,0.25804856524307235,0.21394837049876828,19.78012880742804,0.27733217925364745,115.60022728628115,8.444942887601362,,14.329080317364717,,3.2889230181291498,10.349584780501981,1.9210059588332373,0.09000991359466351,1.164175785276899,17.855966482180825,1.7926176405839647,30.15926120337324,0.7103076884727144,,85.61850322439098,3.3087221305108594,1.2465335374630981,0.37851446127193294,2.476729972960732,1.3138176780374733,0.8803763024873728,0.3336704773162934,0.7204596260415432,3.3943875517842126,0.05575174389734907,8.113018413367687,15.32451437706967,1.3014123650901652,1.7524401860985737,16.856043082454217,11.791777262382318,0.5265224322135342,21.777019084477715,16.088494032899725,12.059710850960744,13.102170845051946,1.2045497285872364,,0.3107377748452234,0.8755405984935317,0.14403213739963042,0.38316898753706075,31.963189756714595,4.50340407947365,0.006486859451129376,,0.14577984812214595,34.62392414076137,99.65406275630535
Rv0081,10.492816040720635,715.1959363594328,0.4371030783328238,0.3693663827721508,2.9171973591952947,0.5545013408780645,0.12426501245132032,9.650181316542616,4.99382040701561,92.54625536480694,6.4861425138961835,,0.026414370862309872,,2.4867715000668094,0.9002776363711952,3.6318367531532685,0.03193898736021005,1.4230801235025754,38.340578046566606,32.45889372849524,0.4771956336847702,1.0031812203536032,,5.269294935430074,0.026596458234273444,1.1801132066826352,0.1738660957228773,8.671996237744594,9.710078206912229,0.4849246700634211,0.30807001649468657,0.9021713794586904,3.447217880530752,0.27444070623103645,9.380575646073241,4.159517708550736,0.3630906149577278,18.394835769243777,18.98200692914572,12.80753041191085,0.5687658523366604,1.1249175857084412,7.809836371549118,20.581976372678835,9.697720307598829,5.499318567608663,,0.3033502399138603,2.957327223799206,0.2075488695929581,0.5252272588849702,16.91646007976046,12.70972732592932,0.10461322218159126,inf,0.14643153885481833,10.344596456226178,99.83506773492795
Rv1221,7.809418393850704,689.6366465270859,0.4080725168781223,0.3972153052632012,2.404381946679111,29.77915149737644,0.1962845741132715,7.661063730857712,2.4714391356121954,25.953088436947844,6.120399409788717,,0.1169542444755818,inf,193.78587288706407,1.9242719843524674,2.0028435993845215,0.05794114595546607,4.7856012831886305,6.199319980010541,2.750480921782954,0.4633755495728113,0.978382643144563,,5.085123975688887,0.0,0.8687955453907158,7.207901987635196,11.926744191631755,7.510079148116331,0.957089439219637,0.3940547898438402,0.45348767432464465,3.136810796062428,0.31077218369392245,14.992674069196099,3.30798862985244,0.7624553523266606,8.335436440337352,16.856367120506754,12.80753041191085,2.7499696047487867,1.2333547879414788,16.107416463885126,37.62703141857584,19.703645310903134,1.5548297578637138,,0.16521676409752284,0.6433737082154124,0.27091356930635513,0.4996128767007271,24.428000822892514,12.70972732592932,0.40509716813636015,,0.19719199178178354,4.584668596467062,99.64309284137678
Rv3066,17.90719583638518,727.9121134517463,4.984040550459624,9.36972617602472,23.990804829804457,12.754140013696517,0.7746448897026295,23.359829368991353,3.997586427828586,183.54724729479767,17.99523717871525,,3.217236965523951,inf,52.20663057220668,6.6674636320207,9.560666547182196,0.6028400944073147,37.266785405413515,39.669602145094146,11.38385792642501,8.327609758364382,5.427621953146322,,45.60492243921299,0.21958384922386465,21.764705972866814,3.7412069943067294,2.3918876862806226,38.98663286435107,6.416578610859618,1.3005507352803674,5.567977357193337,8.973589870594543,2.4622184896928996,21.13506923104624,10.608450199984409,12.044062518479775,63.73426838714389,16.892307601117423,12.809785994583597,5.170799594319179,10.85269464374158,38.785395381794736,32.4388664334336,51.38943070524225,6.00492649367248,inf,2.2266067816130244,6.2445254727646695,2.4684906101477213,1.3820821289301373,94.9728300861616,12.70972732592932,5.1219164353552165,,2.768667838519702,20.294034531570276,103.70400258405853
Rv3208,6.0150742353732785,685.0249592658927,4.8471657022986365,8.653826977120422,5.6602630757412955,3.4025265234042528,1.0306322763905906,18.468160763217412,1.1533432148613716,210.7083415519322,12.49163914192465,,2.9210579514962416,,178.10490013315817,11.48980956257861,11.029929930642007,0.4206353925165037,19.642013087325815,27.448848075335377,9.169649857154814,10.073858385557525,4.998929277051613,,15.484576666606502,0.43164777984060426,18.624416906797155,2.700692124781875,2.4473303380608216,35.18690121706478,6.33499312915353,0.8161176063891822,5.848849164066709,7.999771875778947,2.610747827244166,12.052602828366146,16.503641892823303,13.784382079508413,60.80732990127612,16.856342264541468,12.268800615569113,9.666055817443024,5.012609345614613,80.43090469620815,15.061896719455227,20.937247644820317,4.945200280926026,,2.150191498193747,50.50103017177105,2.6319788660889563,3.0318044996095255,34.647268680841506,12.70972732592932,11.127527511718508,,2.3225454924268267,1.7280083687999943,99.56949159306815
Rv3060c,8.86978223143642,805.4104882746715,0.6710625231083845,0.7425719838773084,1.6004044086202678,30.30908396524727,0.20823065474602348,13.27100491137302,0.4893808832672033,20.464432591535292,6.252548216015801,,0.22023336361510837,,193.7278500103826,1.2563907225767776,0.5088075726097138,0.06892902017190256,3.829763290314025,31.98530541023452,2.048484887982005,0.7987254993411976,1.0642841531694778,,4.285063633704298,0.021496447444885016,1.6554844163503566,7.316180018208174,2.7490319813019632,0.9475762090571682,0.8589307181846764,0.4330078608505875,0.2778594989541315,3.518275583397203,0.18657848803363625,14.656542577297609,1.0178773045442966,0.8568982393021152,0.0,12.471961424288843,31.08139943049406,0.8313646226440692,1.2158026921030458,32.23202618342807,39.484420945961205,20.581641451462772,1.5745213962995148,,0.3587569177070876,0.7454067442761245,0.20428950445037625,0.0,29.460353918602546,12.70972732592932,0.45457641217376676,,0.1825831880018855,7.430099978986229,99.60597819604266
