Regulator Name,Gene Set Name,Total Genes,Gene Set Size,Regulator Target Set Size,Overlap,Total Genes,odds-ratio,p-value,Adjusted p-value
Rv0019c,"Alanine, Aspartate, and Glutamate Metabolism",1010,28.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Alternate Carbon Metabolism,1010,19.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Arabinogalactan biosynthesis,1010,29.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Arabinogalactan bioynthesis,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Arginine and Proline Metabolism,1010,10.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Beta oxidation of unsaturated fatty acids,1010,67.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Carbon metabolism,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Citric Acid Cycle,1010,32.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Cofactor,1010,1.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Cofactor and Prosthetic Group Biosynthesis,1010,102.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Cysteine and methionine metabolism,1010,27.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Degradation/Utilization/Assimilation,1010,7.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Ergothioneine biosynthesis,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Fatty acid biosynthesis,1010,15.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Fatty Acid Metabolism,1010,137.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Folate Metabolism,1010,13.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Fructose and mannose metabolism,1010,8.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Glycerolipid metabolism,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Glycerophospholipid metabolism,1010,50.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Glycolysis/Gluconeogenesis,1010,54.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Glyoxylate Metabolism,1010,7.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Histidine Metabolism,1010,10.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Inositol phosphate metabolism,1010,5.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,L-alpha-aminoadipic acid (L-AAA) biosynthesis,1010,1.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Lipid metabolism,1010,11.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Lipopolysaccharide Biosynthesis / Recycling,1010,1.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Membrane Metabolism,1010,67.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Miscellaneous,1010,6.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Mycobactin biosynthesis,1010,10.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Mycolic Acid Biosynthesis,1010,11.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Mycolic acid pathway,1010,14.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Nicotinate and nicotinamide metabolism,1010,2.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Nucleotide Salvage Pathway,1010,8.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Other Amino Acid Metabolism,1010,20.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Others,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Oxidative Phosphorylation,1010,35.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Pantothenate and CoA Metabolism,1010,18.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Pentose Phosphate Pathway,1010,14.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Peptidoglycan Metabolism,1010,12.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,p-HBAD biosynthesis,1010,4.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Phenolic glycolipid biosynthesis,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Polyprenyl Metabolism,1010,15.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Propanoate metabolism,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Propanoate Metabolism,1010,5.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Purine and Pyrimidine Biosynthesis,1010,74.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Pyruvate Metabolism,1010,24.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Redox Metabolism,1010,25.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Riboflavin Metabolism,1010,9.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Spermidine biosynthesis,1010,1.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Starch and sucrose metabolism,1010,10.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Sulfur metabolism,1010,10.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Thiamine Metabolism,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Threonine and Lysine Metabolism,1010,8.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Transport,1010,101.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,tRNA Charging,1010,2.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",1010,18.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Unassigned,1010,1.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Urea Cycle,1010,4.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,"Valine, Leucine, and Isoleucine Metabolism",1010,26.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0019c,Cholesterol degradation,1010,38.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,"Alanine, Aspartate, and Glutamate Metabolism",1010,28.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Alternate Carbon Metabolism,1010,19.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Arabinogalactan biosynthesis,1010,29.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Arabinogalactan bioynthesis,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Arginine and Proline Metabolism,1010,10.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Beta oxidation of unsaturated fatty acids,1010,67.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Carbon metabolism,1010,3.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Citric Acid Cycle,1010,32.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Cofactor,1010,1.0,0.0,0.0,1010,,1.0,1.0
Rv0020c,Cofactor and Prosthetic Group Biosynthesis,1010,102.0,0.0,0.0,1010,,1.0,1.0
