,A_E_ex,B_E_ex,C_E_ex,D_E_ex,E_E_ex,F_E_ex,G_E_ex,N_E_ex,R_E_ex,U_E_ex,V_E_ex,W_E_ex,X_E_ex,A_import,B_import,C_import,D_import,E_import,F_import,G_import,N_exp,R_exp,U_exp,V_exp,W_exp,X_exp,R_A_B__G_H,R_C_H__I,R_C_D__J,R_I__P,R_J__Q,R_E__M,R_F_M__N,R_N__T,R_N__U,R_H__K,R_G_K__L,R_K__O,R_L__W,R_O_P__R,R_P_Q__S,R_S_T__V_X,biomass
A_E_ex,0.0,5.660101729929723,0.2224366107893596,0.15573730090751337,0.0,0.0,0.3863357780547032,0.0,0.2004219620895027,0.003190772551158183,0.15573730090751337,0.2746783616103814,0.04606661968041603,5.659771042099035,5.660763105591098,0.2224366107893596,0.15573730090751337,0.0,0.0,0.3863357780547032,0.0,0.2004219620895027,0.003190772551158183,0.15573730090751337,0.2746783616103814,0.04606661968041603,5.659771042099035,0.3608092241786034,0.15573730090751337,0.3608092241786034,0.15573730090751337,0.0,0.0,0.15573730090751337,0.0,0.8715368610344871,0.3999495831493709,0.2004219620895027,0.3999495831493709,0.2004219620895027,0.15573730090751337,0.15573730090751337,0.04244560994693014
B_E_ex,5.660101729929723,0.0,0.2224366107893596,0.15573730090751337,0.0,0.0,0.3863357780547032,0.0,0.2004219620895027,0.003190772551158183,0.15573730090751337,0.2746783616103814,0.04606661968041603,5.661755169083162,5.660763105591098,0.2224366107893596,0.15573730090751337,0.0,0.0,0.3863357780547032,0.0,0.2004219620895027,0.003190772551158183,0.15573730090751337,0.2746783616103814,0.04606661968041603,5.659771042099035,0.3608092241786034,0.15573730090751337,0.3608092241786034,0.15573730090751337,0.0,0.0,0.15573730090751337,0.0,0.8715368610344871,0.3999495831493709,0.2004219620895027,0.3999495831493709,0.2004219620895027,0.15573730090751337,0.15573730090751337,0.04244560994693014
C_E_ex,0.2224366107893596,0.2224366107893596,0.0,1.0115218991454737,0.04725082784775747,0.04725082784775747,0.6958330463322593,0.012369993951461211,0.0969002332043365,0.023002770896016322,1.0115218991454737,0.0,0.5299882323013012,0.2224366107893596,0.2224366107893596,5.660101729929723,1.0115218991454737,0.04725082784775747,0.04725082784775747,0.6958330463322593,0.012369993951461211,0.0969002332043365,0.023002770896016322,1.0115218991454737,0.0,0.5299882323013012,0.2224366107893596,1.3591431147144117,1.0115218991454737,1.3591431147144117,1.0115218991454737,0.04725082784775747,0.04725082784775747,1.0115218991454737,0.034881625368898383,0.06234152847939889,0.0,0.0969002332043365,0.0,0.0969002332043365,1.0115218991454737,1.0115218991454737,0.16491324555733566
D_E_ex,0.15573730090751337,0.15573730090751337,1.0115218991454737,0.0,0.10483820107362707,0.10483820107362707,0.29054307602024654,0.0,0.0,0.012557185209014499,5.659440354268347,0.0,0.8140069643320818,0.15573730090751337,0.15573730090751337,1.0115218991454737,5.659440354268347,0.10483820107362707,0.10483820107362707,0.29054307602024654,0.0,0.0,0.012557185209014499,5.659440354268347,0.0,0.8140069643320818,0.15573730090751337,0.5560394859734119,5.65910966643766,0.5560394859734119,5.65910966643766,0.10483820107362707,0.10483820107362707,5.65910966643766,0.0,0.046787339704555286,0.0,0.0,0.0,0.0,5.659440354268347,5.659440354268347,0.26856711119600174
E_E_ex,0.0,0.0,0.04725082784775747,0.10483820107362707,0.0,5.659440354268347,0.0,0.20229790186672236,0.0,0.2547164893089082,0.10483820107362707,0.001408896299969875,0.0,0.0,0.0,0.04725082784775747,0.10483820107362707,5.660101729929723,5.659771042099035,0.0,0.20229790186672236,0.0,0.2547164893089082,0.10483820107362707,0.001408896299969875,0.0,0.0,0.009089992771908584,0.10483820107362707,0.009089992771908584,0.10483820107362707,5.659440354268347,5.65910966643766,0.10483820107362707,0.28623818850810334,0.0,0.0,0.0,0.0,0.0,0.10483820107362707,0.10483820107362707,0.04964675044983924
F_E_ex,0.0,0.0,0.04725082784775747,0.10483820107362707,5.659440354268347,0.0,0.0,0.20229790186672236,0.0,0.2547164893089082,0.10483820107362707,0.001408896299969875,0.0,0.0,0.0,0.04725082784775747,0.10483820107362707,5.66043241776041,5.659771042099035,0.0,0.20229790186672236,0.0,0.2547164893089082,0.10483820107362707,0.001408896299969875,0.0,0.0,0.009089992771908584,0.10483820107362707,0.009089992771908584,0.10483820107362707,5.660763105591098,5.660763105591098,0.10483820107362707,0.28623818850810334,0.0,0.0,0.0,0.0,0.0,0.10483820107362707,0.10483820107362707,0.04964675044983924
G_E_ex,0.3863357780547032,0.3863357780547032,0.6958330463322593,0.29054307602024654,0.0,0.0,0.0,0.028868074157699652,0.7605433542664626,0.018731021478102683,0.29054307602024654,0.0,0.15080554436371596,0.3863357780547032,0.3863357780547032,0.6958330463322593,0.29054307602024654,0.0,0.0,5.65910966643766,0.028868074157699652,0.7605433542664626,0.018731021478102683,0.29054307602024654,0.0,0.15080554436371596,0.3863357780547032,1.3511051390997597,0.29054307602024654,1.3511051390997597,0.29054307602024654,0.0,0.0,0.29054307602024654,0.0,0.11505839451550237,0.01715597375484723,0.7605433542664626,0.01715597375484723,0.7605433542664626,0.29054307602024654,0.29054307602024654,0.0829814407084637
N_E_ex,0.0,0.0,0.012369993951461211,0.0,0.20229790186672236,0.20229790186672236,0.028868074157699652,0.0,0.008595885248687374,0.02178923191297244,0.0,0.0,0.023646416407225423,0.0,0.0,0.012369993951461211,0.0,0.20229790186672236,0.20229790186672236,0.028868074157699652,5.65910966643766,0.008595885248687374,0.02178923191297244,0.0,0.0,0.023646416407225423,0.0,0.011003385708215241,0.0,0.011003385708215241,0.0,0.20229790186672236,0.20229790186672236,0.0,0.0,0.011096442522302574,0.0,0.008595885248687374,0.0,0.008595885248687374,0.0,0.0,0.03177924941868948
R_E_ex,0.2004219620895027,0.2004219620895027,0.0969002332043365,0.0,0.0,0.0,0.7605433542664626,0.008595885248687374,0.0,0.0,0.0,0.0018544186211606473,0.0,0.2004219620895027,0.2004219620895027,0.0969002332043365,0.0,0.0,0.0,0.7605433542664626,0.008595885248687374,5.65910966643766,0.0,0.0,0.0018544186211606473,0.0,0.2004219620895027,0.34083857515822746,0.0,0.34083857515822746,0.0,0.0,0.0,0.0,0.03978238186566507,0.09231436515625013,0.0,5.65910966643766,0.0,5.65910966643766,0.0,0.0,0.004002195862260471
U_E_ex,0.003190772551158183,0.003190772551158183,0.023002770896016322,0.012557185209014499,0.2547164893089082,0.2547164893089082,0.018731021478102683,0.02178923191297244,0.0,0.0,0.012557185209014499,0.0,0.0,0.003190772551158183,0.003190772551158183,0.023002770896016322,0.012557185209014499,0.2547164893089082,0.2547164893089082,0.018731021478102683,0.02178923191297244,0.0,5.65910966643766,0.012557185209014499,0.0,0.0,0.003190772551158183,0.0,0.012557185209014499,0.0,0.012557185209014499,0.2547164893089082,0.2547164893089082,0.012557185209014499,1.4575928120129245,0.0022006382234929234,0.0,0.0,0.0,0.0,0.012557185209014499,0.012557185209014499,0.0025955335941505453
