,IMAT Divergence
metabolite__A_C,1.9900128479872885
metabolite__B_C,1.9900128479872885
metabolite__C_C,1.400976184666209
metabolite__D_C,0.19144349850681688
metabolite__E_C,0.29450265833841743
metabolite__F_C,0.29450265833822686
metabolite__N_C,1.1750329656144223
metabolite__R_C,11.374933174486294
metabolite__U_C,8.742898166311152
metabolite__V_C,12.449998189067326
metabolite__W_C,7.3288781148532935
metabolite__X_C,13.152506605064907
metabolite__H_C,5.468172506753542
metabolite__I_C,7.191571271608016
metabolite__J_C,3.7688687118464324
metabolite__P_C,8.460876440465446
metabolite__Q_C,4.913529726236225
metabolite__M_C,0.5880127607639384
metabolite__T_C,1.5929621417040913
metabolite__K_C,6.112014775685659
metabolite__L_C,6.123693268164342
metabolite__O_C,6.889601774801307
metabolite__S_C,12.861929906106369
reaction__A_import,1.9900128479872885
reaction__B_import,1.9900128479872885
reaction__C_import,1.400976184666209
reaction__D_import,0.19144349850681688
reaction__E_import,0.29450265833841743
reaction__F_import,0.29450265833822686
reaction__G_import,2.029741733543306
reaction__N_exp,0.03804264899643942
reaction__R_exp,0.32741312428869407
reaction__U_exp,4.669133619801711
reaction__V_exp,0.19144349850673434
reaction__W_exp,2.90290836360598
reaction__X_exp,0.5526932130457327
reaction__R_A_B__G_H,1.9900128479874888
reaction__R_C_H__I,2.858270569919769
reaction__R_C_D__J,0.19144349850611414
reaction__R_I__P,2.858270569920137
reaction__R_J__Q,0.19144349850709166
reaction__R_E__M,0.29450265833822686
reaction__R_F_M__N,0.29450265833800715
reaction__R_N__T,0.19144349850829404
reaction__R_N__U,4.988375687404152
reaction__R_H__K,1.4522250504566467
reaction__R_G_K__L,2.2378905145707253
reaction__R_K__O,0.32741312428869407
reaction__R_L__W,2.2378905145707253
reaction__R_O_P__R,0.32741312428869407
reaction__R_P_Q__S,0.19144349850671266
reaction__R_S_T__V_X,0.19144349850673434
