,subsystem__Transport,subsystem__whole_metabolism,reaction__A_import,reaction__B_import,reaction__C_import,reaction__D_import,reaction__E_import,reaction__F_import,reaction__G_import,subsystem__S3,reaction__N_exp,subsystem__S5,reaction__R_exp,subsystem__S7,reaction__U_exp,reaction__V_exp,reaction__W_exp,reaction__X_exp,subsystem__S1,reaction__R_A_B__G_H,subsystem__S2,reaction__R_C_H__I,reaction__R_C_D__J,reaction__R_I__P,reaction__R_J__Q,reaction__R_E__M,reaction__R_F_M__N,reaction__R_N__T,reaction__R_N__U,subsystem__S4,reaction__R_H__K,reaction__R_G_K__L,reaction__R_K__O,reaction__R_L__W,reaction__R_O_P__R,subsystem__S6,reaction__R_P_Q__S,reaction__R_S_T__V_X,metabolite_synthesis__A_C,metabolite_synthesis__B_C,metabolite_synthesis__C_C,metabolite_synthesis__D_C,metabolite_synthesis__E_C,metabolite_synthesis__F_C,metabolite_synthesis__N_C,metabolite_synthesis__R_C,metabolite_synthesis__U_C,metabolite_synthesis__V_C,metabolite_synthesis__W_C,metabolite_synthesis__X_C,metabolite_synthesis__H_C,metabolite_synthesis__I_C,metabolite_synthesis__J_C,metabolite_synthesis__P_C,metabolite_synthesis__Q_C,metabolite_synthesis__M_C,metabolite_synthesis__T_C,metabolite_synthesis__K_C,metabolite_synthesis__L_C,metabolite_synthesis__O_C,metabolite_synthesis__S_C,metabolite_consuming__A_E,metabolite_consuming__B_E,metabolite_consuming__C_E,metabolite_consuming__D_E,metabolite_consuming__E_E,metabolite_consuming__F_E,metabolite_consuming__A_C,metabolite_consuming__B_C,metabolite_consuming__C_C,metabolite_consuming__D_C,metabolite_consuming__E_C,metabolite_consuming__F_C,metabolite_consuming__G_C,metabolite_consuming__N_C,metabolite_consuming__R_C,metabolite_consuming__U_C,metabolite_consuming__V_C,metabolite_consuming__W_C,metabolite_consuming__X_C,metabolite_consuming__H_C,metabolite_consuming__I_C,metabolite_consuming__J_C,metabolite_consuming__P_C,metabolite_consuming__Q_C,metabolite_consuming__M_C,metabolite_consuming__T_C,metabolite_consuming__K_C,metabolite_consuming__L_C,metabolite_consuming__O_C,metabolite_consuming__S_C
g001,12.624202230476673,37.7751027741473,5.428185308866407,5.4281853088666026,5.176565050425096,4.987082479383563,0.39717202419323105,0.39717202419254305,5.227664161451677,3.2407916035545057,0.03470035958468241,5.369648051341114,4.5458624983864055,4.021899153018501,0.0,4.987082479383618,4.597470007154884,4.544220257223616,5.4281853088664205,5.4281853088664205,12.487729592751798,5.211040333948899,4.98708247938285,5.211040333948518,4.987082479382683,0.39717202419254305,0.3971720241922609,4.9870824793830115,0.11824638274909566,14.984276104219187,5.171332858027439,4.932642254892121,4.5458624983864055,4.932642254892113,4.5458624983864055,9.973164458433653,4.987082479383618,4.987082479383618,5.428185308866407,5.4281853088666026,5.176565050425096,4.987082479383563,0.39717202419323105,0.39717202419254305,1.585686595769827,25.69431625997703,1.115811426790229,29.503651304982824,17.683638477687918,31.146887186971593,13.501373622350542,16.20403151319843,10.124873190222562,18.84150330976565,13.313181401402316,0.7933435480521905,6.289787997523258,15.101227970842062,15.156822829567766,17.169203786452677,28.09233451726906,48.67084588542286,48.67084588542286,38.28116737277427,25.609979746715833,13.025394820364317,13.025394820364317,45.25517580477388,45.25517580477398,34.50872593351308,22.170191584068817,12.532283817482938,12.532283817483004,9.603537845196934,11.798823277660684,4.5458624983864055,0.0,4.987082479383618,4.597470007154884,4.544220257223616,36.123938130761324,28.555794454148902,18.775797175298358,25.58028232692978,15.417522182591076,12.10937569852139,22.170191584069176,14.079299318068008,6.23270164590718,9.090724496439227,12.113539523272777
g002,0.22922925354874063,1.7141247597002465,0.0,0.0,0.006028772672876361,0.04313964356355105,0.05463329924122928,0.05463329924078227,0.04220380527481896,0.20553536735924768,0.08120042113393154,0.09638898605963364,0.01861189526916739,0.11349564418477955,0.0370786163211353,0.04313964356367862,0.049861639127198584,0.011632745032409046,0.0,0.0,0.19336173458033662,0.0,0.04313964356323867,0.0,0.04313964356084782,0.05463329924078227,0.054633299240649184,0.04313964356362691,0.062113245890573196,0.289371020237511,0.05748420283242546,0.11157170218851988,0.01861189526916739,0.11157170218855099,0.01861189526916739,0.08527878679377361,0.04313964356367862,0.04313964356367862,0.0,0.0,0.006028772672876361,0.04313964356355105,0.05463329924122928,0.05463329924078227,0.2155316959626922,0.42362014679188953,0.20674555512187898,0.6875026414761146,0.3345711249546581,0.7492709631171987,0.09891753494580191,0.23061586993118277,0.15393280587131414,0.25735138768317006,0.20834195493361127,0.10826609814842796,0.006804440145853321,0.19681294946634326,0.2413455155137047,0.25526181407225157,0.47555805133094714,0.9243930397512262,0.9243930397512262,0.43646682508174245,0.03719684614608547,0.6279247338313685,0.6279247338313685,0.880802257782003,0.8808022577820306,0.35852316517723554,0.014150235030747157,0.5809406272001091,0.580940627200199,0.10619396912262036,0.5503043806485753,0.01861189526916739,0.0370786163211353,0.04313964356367862,0.049861639127198584,0.011632745032409046,0.8018519218279251,0.353072090503082,0.005195363344337276,0.3278667493102679,0.0,0.5625221723685186,0.014150235030839713,0.2798750328481256,0.1211439475738603,0.036223290204751145,0.0008616242523095236
g003,0.4755590336451014,1.7000681306195096,0.025262634592714342,0.02526263459298125,0.0,0.04373609193380545,0.045332448207984065,0.04533244820711939,0.08685442090232319,0.037604000667570046,0.042986134141558545,0.15392129988306283,0.13368060359011733,0.0,0.0,0.043736091933436166,0.0,0.00601078973841608,0.025262634592748207,0.025262634592748207,0.3752031689947256,0.0,0.04373609193478611,0.0,0.04373609193569661,0.04533244820711939,0.0453324482074107,0.043736091935272774,0.0,0.48144690800168,0.0,0.02748767861036114,0.13368060359011733,0.027487678611066546,0.13368060359011733,0.0864716835332887,0.043736091933436166,0.043736091933436166,0.025262634592714342,0.02526263459298125,0.0,0.04373609193380545,0.045332448207984065,0.04533244820711939,0.17832829182888266,0.6064569619043143,0.09680178978270333,1.227333565802981,0.36779685856123234,1.2982594853956333,0.18076752344489877,0.34773167679884365,0.2462673414014147,0.40658531283341354,0.33061454495621234,0.08966439608151983,0.03515500640666537,0.28495067519224615,0.3167721725629644,0.33653759682927176,0.682162709598005,1.0858431339701242,1.0858431339701242,0.9793768803953125,0.08614568313619002,0.13479843340605105,0.13479843340605105,1.0454932977960174,1.0454932977960214,0.9491826673934879,0.07251437719991506,0.1132017156137357,0.11320171561371202,0.14005636228136367,0.05420420411110219,0.13368060359011733,0.0,0.043736091933436166,0.0,0.00601078973841608,0.9986450988667902,0.8166179846120715,0.06979107354711432,0.7682239509411972,0.055122756713573966,0.0992203319888827,0.0725143772000871,0.2888793371567693,0.032879956157780534,0.2663607068466511,0.03974733219332438
g004,4.30484617274475,14.824304695583875,0.4995547996396401,0.49955479963971944,1.7933351796743118,4.987082479383563,0.23326245178206897,0.23326245178033245,0.3590015722838449,3.1437878363489684,0.05700883332654566,0.12170767957070104,0.043847903421653546,4.011610411510605,0.0,4.987082479383618,0.07194616046315021,4.544220257223616,0.49955479963950233,0.49955479963950233,9.746822135076396,0.7776178718386738,4.98708247938285,0.7776178718378595,4.987082479382683,0.23326245178033245,0.23326245177991364,4.9870824793830115,0.1264623025825162,0.8632777131025886,0.1610927962033564,0.266140012164236,0.043847903421653546,0.26614001216507643,0.043847903421653546,9.973164458433653,4.987082479383618,4.987082479383618,0.4995547996396401,0.49955479963971944,1.7933351796743118,4.987082479383563,0.23326245178206897,0.23326245178033245,0.9300483061218968,9.834415915103632,0.86794537184902,12.450624082001605,2.9497262365885644,13.692921168763538,1.3313585264346774,5.70840242294283,7.878598337171231,6.557082623004211,10.868192056777767,0.46552440322881783,6.257826067397069,2.336361543248548,2.5947670799751568,3.6706913045055827,13.726877540413263,23.745371549812376,23.745371549812376,30.917452922037377,25.609979746715833,12.836914404036166,12.836914404036166,23.251377767470007,23.251377767470018,28.14461674789381,22.170191584068817,12.361381211810338,12.361381211810444,1.2775571746305638,11.725640660973122,0.043847903421653546,0.0,4.987082479383618,0.07194616046315021,4.544220257223616,22.5051401069229,25.62400448289427,18.775797175298358,23.70094714242338,15.417522182591076,11.95347490662949,22.170191584069176,1.7317455746367172,1.7152385193896806,0.08669530650972347,12.113539523272777
g005,14.149924569229919,45.78463074048828,0.22344312290225,0.22344312290242993,1.764032782410775,4.987082479383563,5.688652485834192,5.688652485833689,0.2859922713033817,13.083594466742156,4.660050938000086,0.09950083271582799,0.044189727576423636,6.8048553474731515,4.674860729050435,4.987082479383618,0.0,4.544220257223616,0.2234431229019996,0.2234431229019996,9.749688645517606,0.6920322346618424,4.98708247938285,0.6920322346619531,4.987082479382683,5.688652485833689,5.6886524858334795,4.9870824793830115,5.004971514668814,0.48038819371772434,0.05263616166394426,0.1080689491177494,0.044189727576423636,0.1080689491176041,0.044189727576423636,9.973164458433653,4.987082479383618,4.987082479383618,0.22344312290225,0.22344312290242993,1.764032782410775,4.987082479383563,5.688652485834192,5.688652485833689,22.751608442334298,9.56300455216265,17.519237771412378,35.27752225298632,2.477172273060905,37.20853673689122,0.8399234689460237,5.538825448471002,7.884050292855304,6.359046514331937,10.873230279125504,11.376304471334297,19.10973807395588,1.9562971998936498,2.2005878067462783,3.3099658725687506,13.550525664297174,23.311553570251487,23.311553570251487,30.92317564333278,25.609979746715833,36.10132636231512,36.10132636231512,22.867396861898232,22.867396861898253,28.146369317055363,22.170191584068817,32.6501771007779,32.650177100777974,0.9738084010936007,20.876491273102026,0.044189727576423636,4.674860729050435,4.987082479383618,0.0,4.544220257223616,22.270295220805124,25.62581218528015,18.775797175298358,23.703390821854267,15.417522182591076,29.098782725025455,22.170191584069176,1.4206954176089388,1.5536754058322098,0.08737895481926364,12.113539523272777
g006,14.13923263213298,45.746549777323985,0.04645385248781946,0.046453852487805224,1.2367310386295896,4.987082479383563,5.688652485834192,5.688652485833689,0.22524778165749276,13.083594466742156,4.660050938000086,0.185741094927219,0.11831208886244692,6.8048553474731515,4.674860729050435,4.987082479383618,0.0,4.544220257223616,0.04645385248749961,0.04645385248749961,9.73569396952714,0.4097557239657649,4.98708247938285,0.40975572396652116,4.987082479382683,5.688652485833689,5.6886524858334795,4.9870824793830115,5.004971514668814,0.6344625477379051,0.029597334686925887,0.08233746467180397,0.11831208886244692,0.08233746467148136,0.11831208886244692,9.973164458433653,4.987082479383618,4.987082479383618,0.04645385248781946,0.046453852487805224,1.2367310386295896,4.987082479383563,5.688652485834192,5.688652485833689,22.751608442334298,9.32393176567419,17.519237771412378,35.257982320697636,2.1711752639537925,37.18828915359271,0.5157278481762453,5.369308201385124,7.827899718228113,6.156827619640002,10.819595931730506,11.376304471334297,19.10973807395588,1.7164255434072098,1.9622378714929647,3.05940355564927,13.37247497242451,22.965674161005317,22.965674161005317,30.905235670302798,25.609979746715833,36.10132636231512,36.10132636231512,22.572914052437476,22.5729140524375,28.13344678652795,22.170191584068817,32.6501771007779,32.650177100777974,0.7894750464495746,20.876491273102026,0.11831208886244692,4.674860729050435,4.987082479383618,0.0,4.544220257223616,22.094231905465882,25.619632871842068,18.775797175298358,23.698938465932624,15.417522182591076,29.098782725025455,22.170191584069176,1.4757095174579982,1.5313538246612808,0.2356236773913102,12.113539523272777
g007,14.145907601876193,45.76802766816497,0.13070039496626965,0.13070039496590774,1.7380034996551499,4.987082479383563,5.688652485834192,5.688652485833689,0.2976327022570243,13.083594466742156,4.660050938000086,0.08994264763295295,0.05924735195659314,6.8048553474731515,4.674860729050435,4.987082479383618,0.0,4.544220257223616,0.1307003949655568,0.1307003949655568,9.750259085711784,0.6754661135636244,4.98708247938285,0.6754661135635182,4.987082479382683,5.688652485833689,5.6886524858334795,4.9870824793830115,5.004971514668814,0.3204019197478878,0.004673279206278907,0.05810433811905734,0.05924735195659314,0.0581043381195845,0.05924735195659314,9.973164458433653,4.987082479383618,4.987082479383618,0.13070039496626965,0.13070039496590774,1.7380034996551499,4.987082479383563,5.688652485834192,5.688652485833689,22.751608442334298,9.493879651823246,17.519237771412378,35.270834171812865,2.3811188593995802,37.20158881866284,0.720062425192589,5.504654833296104,7.8773573133841825,6.3287390544288,10.866564501731993,11.376304471334297,19.10973807395588,1.9093740779242692,2.138308835576053,3.221100424480889,13.506126635660284,23.160821889882897,23.160821889882897,30.926290033948057,25.609979746715833,36.10132636231512,36.10132636231512,22.731487746661422,22.731487746661518,28.151747238006035,22.170191584068817,32.6501771007779,32.650177100777974,0.9359654008436442,20.876491273102026,0.05924735195659314,4.674860729050435,4.987082479383618,0.0,4.544220257223616,22.187349673154316,25.627275137516968,18.775797175298358,23.706345698489624,15.417522182591076,29.098782725025455,22.170191584069176,1.2863028916545303,1.5279749133252492,0.11749420357960265,12.113539523272777
g008,12.623814445227495,37.686984089783536,5.428185308866407,5.4281853088666026,5.176565050425096,4.987082479383563,0.27116415084180406,0.2711641508413771,5.227664161451677,3.1112704243047067,0.032755892922605646,5.369648051341114,4.5458624983864055,4.005003751268492,0.0,4.987082479383618,4.597470007154884,4.544220257223616,5.4281853088664205,5.4281853088664205,12.487729592751798,5.211040333948899,4.98708247938285,5.211040333948518,4.987082479382683,0.2711641508413771,0.2711641508412342,4.9870824793830115,0.1274698351483651,14.984276104219187,5.171332858027439,4.932642254892121,4.5458624983864055,4.932642254892113,4.5458624983864055,9.973164458433653,4.987082479383618,4.987082479383618,5.428185308866407,5.4281853088666026,5.176565050425096,4.987082479383563,0.27116415084180406,0.2711641508413771,1.0816551023650418,25.69431625997703,0.9360688511254532,29.502486884993846,17.683638477687918,31.14567515924853,13.501373622350542,16.20403151319843,10.124873190222562,18.84150330976565,13.313181401402316,0.5413278013495977,6.265046370429622,15.101227970842062,15.156822829567766,17.169203786452677,28.09233451726906,48.67084588542286,48.67084588542286,38.28116737277427,25.609979746715833,12.802672393605391,12.802672393605391,45.25517580477388,45.25517580477398,34.50872593351308,22.170191584068817,12.326904506743249,12.326904506743318,9.603537845196934,11.71279609169861,4.5458624983864055,0.0,4.987082479383618,4.597470007154884,4.544220257223616,36.123938130761324,28.555794454148902,18.775797175298358,25.58028232692978,15.417522182591076,11.926346489219299,22.170191584069176,14.079299318068008,6.23270164590718,9.090724496439227,12.113539523272777
g009,8.185015235735749,26.780859355426724,3.6948978730466546,3.694897873046673,0.8412498255786901,0.4871128568570995,0.18842519577558717,0.1884251957749645,1.7421179365159485,0.9251199446167244,0.05852825627441178,5.369648051341114,4.5458624983864055,0.8850250677244086,0.039316822618217465,0.48711285685607497,4.597470007154884,0.01594951365993903,3.6948978730465396,3.6948978730465396,5.014144722921226,1.157032851614722,0.4871128568562007,1.1570328516141797,0.48711285685162226,0.1884251957749645,0.18842519577483605,0.4871128568524099,0.20810568175306005,14.984276104219187,5.171332858027439,4.932642254892121,4.5458624983864055,4.932642254892113,4.5458624983864055,0.9732252133785664,0.48711285685607497,0.48711285685607497,3.6948978730466546,3.694897873046673,0.8412498255786901,0.4871128568570995,0.18842519577558717,0.1884251957749645,0.7506992820996014,19.369237925702485,0.7176815110027268,19.234366664010878,13.756336401650975,20.30913271788339,8.826059473719438,11.63469654726493,2.8850930636287897,13.483518591362335,3.902489100041965,0.375849891216968,1.0663932026142728,11.004906536569488,11.474630905252297,12.377806044552933,20.54281594214987,38.37768143728135,38.37768143728135,19.031625140136725,8.271161923629961,2.872722002907295,2.872722002907295,35.701703020820936,35.70170302082144,18.40297239608205,7.391469751945666,2.6915211145506137,2.691521114550703,8.27564001081657,2.1964247954814455,4.5458624983864055,0.039316822618217465,0.48711285685607497,4.597470007154884,0.01594951365993903,28.294329088551322,14.493766899702148,6.492780462214352,12.84824879823085,5.5560018900681305,2.5273690058076648,7.391469751947343,14.079299318068008,6.23270164590718,9.090724496439227,4.581269465929631
g010,4.1979315656879495,14.576557605573328,0.20948694913850324,0.20948694913839253,1.6892579719236778,4.987082479383563,0.3147590293031398,0.3147590293028494,0.24157254427317343,3.1844562390234494,0.04700860405208896,0.14117205401899066,0.09212372138828544,4.008389873308965,0.02002863432063397,4.987082479383618,0.0,4.544220257223616,0.2094869491384689,0.2094869491384689,9.75712095072702,0.6092099749324263,4.98708247938285,0.6092099749332595,4.987082479382683,0.3147590293028494,0.31475902930273136,4.9870824793830115,0.12373379428270136,0.7565484627402881,0.03285385046721839,0.14261189602647448,0.09212372138828544,0.14261189602684549,0.09212372138828544,9.973164458433653,4.987082479383618,4.987082479383618,0.20948694913850324,0.20948694913839253,1.6892579719236778,4.987082479383563,0.3147590293031398,0.3147590293028494,1.2560346162108191,9.466392475768506,1.1204149216164538,12.237981971922306,2.4493528166174494,13.479872652544914,0.797095326606592,5.453643136074408,7.925360260262209,6.262924924917931,10.914082965338343,0.6285175582724057,6.281305864190808,1.9260347890907101,2.166948943138148,3.2555102221244523,13.467965752306139,23.20507870404651,23.20507870404651,30.93618509105035,25.609979746715833,12.91005410718331,12.91005410718331,22.78021335479506,22.780213354795027,28.16020037516857,22.170191584068817,12.419849422221747,12.41984942222175,0.9747818513215166,11.741787078928555,0.09212372138828544,0.02002863432063397,4.987082479383618,0.0,4.544220257223616,22.245504482472022,25.63199582159881,18.775797175298358,23.7072066544743,15.417522182591076,12.007057199824969,22.170191584069176,1.516889251012629,1.5780268163080844,0.18324694244298725,12.113539523272777
