,betweenness,subset betweenness,betweenness difference,closeness,subset closeness,closeness difference
A_import,0.0,0.0,0.0,0.11403508771929824,0.1111111111111111,-0.0029239766081871343
B_import,0.0,0.0,0.0,0.11403508771929824,0.1111111111111111,-0.0029239766081871343
C_import,0.0,0.0,0.0,0.13131313131313133,0.16666666666666666,0.03535353535353533
D_import,0.0,0.0,0.0,0.11711711711711711,0.125,0.007882882882882886
E_import,0.0,0.0,0.0,0.08441558441558442,0.047619047619047616,-0.0367965367965368
F_import,0.0,0.0,0.0,0.09923664122137404,0.05555555555555555,-0.04368108566581849
G_import,0.0,0.0,0.0,0.11981566820276497,0.125,0.005184331797235028
N_exp,0.0,0.0,0.0,0.11926605504587157,0.06666666666666667,-0.0525993883792049
R_exp,0.0,0.0,0.0,0.12935323383084577,0.125,-0.004353233830845765
U_exp,0.0,0.0,0.0,0.09774436090225563,0.05555555555555555,-0.04218880534670008
V_exp,0.0,0.0,0.0,0.12871287128712872,0.08333333333333333,-0.04537953795379539
W_exp,0.0,0.0,0.0,0.0931899641577061,0.08333333333333333,-0.00985663082437277
X_exp,0.0,0.0,0.0,0.12871287128712872,0.08333333333333333,-0.04537953795379539
R_A_B__G_H,0.19444444444444442,0.0,-0.19444444444444442,0.14606741573033707,0.16666666666666666,0.020599250936329583
R_C_H__I,0.27513227513227506,0.5,0.22486772486772494,0.16883116883116883,0.25,0.08116883116883117
R_C_D__J,0.1111111111111111,0.0,-0.1111111111111111,0.1511627906976744,0.2,0.0488372093023256
R_I__P,0.19576719576719576,0.16666666666666666,-0.0291005291005291,0.17567567567567569,0.2,0.024324324324324326
R_J__Q,0.08465608465608465,0.16666666666666666,0.082010582010582,0.1566265060240964,0.16666666666666666,0.010040160642570267
R_E__M,0.07142857142857142,0.0,-0.07142857142857142,0.10077519379844961,0.05555555555555555,-0.04521963824289406
R_F_M__N,0.2037037037037037,0.0,-0.2037037037037037,0.12264150943396226,0.06666666666666667,-0.0559748427672956
R_N__T,0.38888888888888884,0.0,-0.38888888888888884,0.14606741573033707,0.08333333333333333,-0.06273408239700375
R_N__U,0.07142857142857142,0.0,-0.07142857142857142,0.12037037037037036,0.06666666666666667,-0.0537037037037037
R_H__K,0.04100529100529101,0.0,-0.04100529100529101,0.14606741573033707,0.25,0.10393258426966293
R_G_K__L,0.17195767195767195,0.0,-0.17195767195767195,0.14207650273224043,0.16666666666666666,0.02459016393442623
R_K__O,0.1693121693121693,0.3333333333333333,0.164021164021164,0.15757575757575756,0.2,0.04242424242424245
R_L__W,0.07142857142857142,0.0,-0.07142857142857142,0.11353711790393013,0.1111111111111111,-0.002426006792819027
R_O_P__R,0.24074074074074073,0.0,-0.24074074074074073,0.17218543046357615,0.2,0.02781456953642386
R_P_Q__S,0.5132275132275133,0.16666666666666666,-0.3465608465608466,0.18840579710144928,0.16666666666666666,-0.021739130434782622
R_S_T__V_X,0.5211640211640212,0.0,-0.5211640211640212,0.17105263157894737,0.1111111111111111,-0.05994152046783627
A_C,0.06896551724137931,0.0,-0.06896551724137931,0.12839506172839507,0.13333333333333333,0.00493827160493826
B_C,0.06896551724137931,0.0,-0.06896551724137931,0.12839506172839507,0.13333333333333333,0.00493827160493826
C_C,0.1477832512315271,0.5,0.35221674876847286,0.15072463768115943,0.2222222222222222,0.07149758454106278
D_C,0.06896551724137931,0.0,-0.06896551724137931,0.13231552162849872,0.15384615384615385,0.021530632217655138
E_C,0.06896551724137931,0.0,-0.06896551724137931,0.0920353982300885,0.05128205128205128,-0.040753346948037214
F_C,0.06896551724137931,0.0,-0.06896551724137931,0.10993657505285412,0.06060606060606061,-0.04933051444679351
G_C,0.11945812807881774,0.0,-0.11945812807881774,0.13577023498694518,0.15384615384615385,0.018075918859208673
N_C,0.41379310344827586,0.0,-0.41379310344827586,0.13506493506493505,0.07407407407407407,-0.060990860990860984
R_C,0.06896551724137931,0.0,-0.06896551724137931,0.14814814814814814,0.15384615384615385,0.005698005698005715
U_C,0.06896551724137931,0.0,-0.06896551724137931,0.10810810810810811,0.06060606060606061,-0.047502047502047506
V_C,0.06896551724137931,0.0,-0.06896551724137931,0.14730878186968838,0.09523809523809523,-0.052070686631593144
W_C,0.06896551724137931,0.0,-0.06896551724137931,0.10256410256410256,0.09523809523809523,-0.007326007326007328
X_C,0.06896551724137931,0.0,-0.06896551724137931,0.14730878186968838,0.09523809523809523,-0.052070686631593144
H_C,0.26354679802955666,0.3333333333333333,0.06978653530377665,0.15902140672782875,0.2222222222222222,0.06320081549439346
I_C,0.20935960591133004,0.16666666666666666,-0.042692939244663386,0.1716171617161716,0.2222222222222222,0.0506050605060506
J_C,0.10591133004926108,0.16666666666666666,0.06075533661740558,0.15339233038348082,0.18181818181818182,0.028425851434701
P_C,0.44581280788177347,0.3333333333333333,-0.11247947454844015,0.18772563176895307,0.18181818181818182,-0.005907449950771249
Q_C,0.1206896551724138,0.16666666666666666,0.04597701149425286,0.16613418530351437,0.15384615384615385,-0.012288031457360515
M_C,0.1330049261083744,0.0,-0.1330049261083744,0.11087420042643924,0.06060606060606061,-0.05026813982037863
T_C,0.41379310344827586,0.0,-0.41379310344827586,0.1580547112462006,0.09523809523809523,-0.06281661600810537
K_C,0.21551724137931036,0.3333333333333333,0.11781609195402296,0.1543026706231454,0.2222222222222222,0.06791955159907681
L_C,0.1330049261083744,0.0,-0.1330049261083744,0.12652068126520682,0.13333333333333333,0.006812652068126507
O_C,0.1970443349753695,0.3333333333333333,0.13628899835796382,0.16199376947040497,0.18181818181818182,0.01982441234777685
S_C,0.4876847290640394,0.0,-0.4876847290640394,0.17993079584775087,0.13333333333333333,-0.04659746251441754
