,A_E,B_E,C_E,D_E,E_E,F_E,G_E,N_E,R_E,U_E,V_E,W_E,X_E,A_C,B_C,C_C,D_C,E_C,F_C,G_C,N_C,R_C,U_C,V_C,W_C,X_C,H_C,I_C,J_C,P_C,Q_C,M_C,T_C,K_C,L_C,O_C,S_C
A_import,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
B_import,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
C_import,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
D_import,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False
E_import,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F_import,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
G_import,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
N_exp,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
R_exp,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False
U_exp,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
V_exp,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True
W_exp,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False
X_exp,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,True
R_A_B__G_H,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R_C_H__I,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
R_C_D__J,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False
R_I__P,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
R_J__Q,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,True,False,True,True,False,False,False,False
R_E__M,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R_F_M__N,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
R_N__T,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True
R_N__U,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
R_H__K,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
R_G_K__L,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
R_K__O,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False
R_L__W,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
R_O_P__R,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False
R_P_Q__S,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False
R_S_T__V_X,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True
