,eigenvector,pagerank
A_import,0.02083417866347365,0.03696090412237397
B_import,0.020826184151866923,0.036929846703237616
C_import,0.08250821460711569,0.02269704971668412
D_import,0.37138463979532865,0.05109516751272655
E_import,0.01569159265906857,0.04447669970045312
F_import,0.015700439833614684,0.04452495907201132
G_import,0.029098690132084083,0.020718331204023815
N_exp,0.0005024030504098204,0.007153436959366483
R_exp,0.0035799363958086304,0.033339708754866956
U_exp,0.001507543694138561,0.014045013351149885
V_exp,0.37760303523956307,0.05186807827388349
W_exp,0.0009571394108861818,0.01738560358852258
X_exp,0.06356440021139323,0.014377318739290604
R_A_B__G_H,0.02083383872137609,0.036959582358924575
R_C_H__I,0.056638757565352395,0.02908058476728981
R_C_D__J,0.37142466809584995,0.051100151354880774
R_I__P,0.056638757565352395,0.02908058476728981
R_J__Q,0.37139373743889603,0.051096319770727844
R_E__M,0.015691464437052847,0.04447600026719836
R_F_M__N,0.015700311756057527,0.04452425952978767
R_N__T,0.3714213313779711,0.05109977192894719
R_N__U,0.0006741909661596686,0.014424835047629366
R_H__K,0.005793666175412336,0.01994232666020292
R_G_K__L,0.001417986737584852,0.031113945895515204
R_K__O,0.0035799363958086312,0.033339708754866956
R_L__W,0.001417986737584852,0.031113945895515204
R_O_P__R,0.0035799363958086312,0.033339708754866956
R_P_Q__S,0.3776030352395631,0.051868078273883504
R_S_T__V_X,0.3776030352395631,0.051868078273883504
