,Radius: 0,Radius: 1,Radius: 2,Radius: 3
A_E_ex,1.0,1.0,1.0,1.0
B_E_ex,1.0,1.0,1.0,1.0
C_E_ex,1.0,1.0,1.0,1.0
D_E_ex,1.0,1.0,1.0,1.0
E_E_ex,1.0,1.0,1.0,0.34288537549407117
F_E_ex,1.0,1.0,0.23913043478260868,0.1432806324110672
G_E_ex,1.0,1.0,1.0,0.7233201581027668
N_E_ex,1.0,1.0,0.09881422924901187,0.24901185770750986
R_E_ex,1.0,1.0,1.0,0.5968379446640315
U_E_ex,1.0,1.0,0.34288537549407117,0.4347826086956522
V_E_ex,1.0,1.0,1.0,0.5968379446640315
W_E_ex,1.0,1.0,1.0,0.775197628458498
X_E_ex,1.0,1.0,1.0,0.8586956521739131
A_import,1.0,1.0,1.0,0.775197628458498
B_import,1.0,1.0,1.0,0.775197628458498
C_import,1.0,1.0,1.0,0.8586956521739131
D_import,1.0,1.0,1.0,1.0
E_import,1.0,1.0,0.34288537549407117,0.1432806324110672
F_import,1.0,0.23913043478260868,0.1432806324110672,0.24901185770750986
G_import,1.0,1.0,0.7233201581027668,0.8586956521739131
N_exp,1.0,0.09881422924901187,0.24901185770750986,0.6294466403162056
R_exp,1.0,1.0,0.5968379446640315,0.8586956521739131
U_exp,1.0,0.34288537549407117,0.4347826086956522,0.691699604743083
V_exp,1.0,1.0,0.5968379446640315,0.7509881422924901
W_exp,1.0,1.0,0.775197628458498,0.3359683794466403
X_exp,1.0,1.0,0.8586956521739131,0.7509881422924901
R_A_B__G_H,1.0,1.0,0.775197628458498,0.9184782608695652
R_C_H__I,1.0,1.0,0.8586956521739131,0.9407114624505929
R_C_D__J,1.0,1.0,1.0,0.8913043478260869
R_I__P,1.0,1.0,0.9184782608695652,0.8063241106719368
R_J__Q,1.0,1.0,1.0,0.8063241106719368
R_E__M,1.0,0.34288537549407117,0.1432806324110672,0.24901185770750986
R_F_M__N,0.23913043478260868,0.1432806324110672,0.24901185770750986,0.6294466403162056
R_N__T,0.23913043478260868,0.1432806324110672,0.4347826086956522,0.8063241106719368
R_N__U,0.23913043478260868,0.1432806324110672,0.5000000000000001,0.691699604743083
R_H__K,1.0,0.5968379446640315,0.8201581027667985,0.9407114624505929
R_G_K__L,1.0,0.5968379446640315,0.8201581027667985,0.8567193675889329
R_K__O,0.125,0.5212450592885376,0.8586956521739131,0.958498023715415
R_L__W,1.0,1.0,0.5000000000000001,0.5632411067193676
R_O_P__R,1.0,0.5968379446640315,0.8586956521739131,0.8567193675889329
R_P_Q__S,1.0,1.0,0.691699604743083,0.875
R_S_T__V_X,1.0,0.5968379446640315,0.7509881422924901,0.7608695652173914
biomass,1.0,0.7233201581027668,0.6294466403162056,0.5632411067193676
