,Radius: 0,Radius: 1,Radius: 2,Radius: 3
A_E_ex,0.0,0.0,0.0,0.0
B_E_ex,0.0,0.0,0.0,0.0
C_E_ex,0.0,0.0,0.0,0.0
D_E_ex,0.0,0.0,0.0,0.0
E_E_ex,0.0,0.0,0.0,4.75
F_E_ex,0.0,0.0,10.0,8.5
G_E_ex,0.0,0.0,0.0,1.0
N_E_ex,0.0,0.0,12.0,5.0
R_E_ex,0.0,0.0,0.0,1.6
U_E_ex,0.0,0.0,4.75,2.6666666666666665
V_E_ex,0.0,0.0,0.0,1.6
W_E_ex,0.0,0.0,0.0,0.8125
X_E_ex,0.0,0.0,0.0,0.55
A_import,0.0,0.0,0.0,0.8125
B_import,0.0,0.0,0.0,0.8125
C_import,0.0,0.0,0.0,0.55
D_import,0.0,0.0,0.0,0.0
E_import,0.0,0.0,4.75,8.5
F_import,0.0,10.0,8.5,5.0
G_import,0.0,0.0,1.0,0.55
N_exp,0.0,12.0,5.0,1.5
R_exp,0.0,0.0,1.6,0.55
U_exp,0.0,4.75,2.6666666666666665,1.2307692307692308
V_exp,0.0,0.0,1.6,1.0
W_exp,0.0,0.0,0.8125,inf
X_exp,0.0,0.0,0.55,1.0
R_A_B__G_H,0.0,0.0,0.8125,0.375
R_C_H__I,0.0,0.0,0.55,0.3076923076923077
R_C_D__J,0.0,0.0,0.0,0.45454545454545453
R_I__P,0.0,0.0,0.375,0.8
R_J__Q,0.0,0.0,0.0,0.8
R_E__M,0.0,4.75,8.5,5.0
R_F_M__N,10.0,8.5,5.0,1.5
R_N__T,10.0,8.5,2.6666666666666665,0.8
R_N__U,10.0,8.5,2.2,1.2307692307692308
R_H__K,0.0,1.6,0.6666666666666666,0.3076923076923077
R_G_K__L,0.0,1.6,0.6666666666666666,0.625
R_K__O,inf,2.125,0.55,0.25
R_L__W,0.0,0.0,2.2,inf
R_O_P__R,0.0,1.6,0.55,0.625
R_P_Q__S,0.0,0.0,1.2307692307692308,inf
R_S_T__V_X,0.0,1.6,1.0,inf
biomass,0.0,1.0,1.5,inf
